Channel,Amplitude,mean,std
1,600,233.0,0.0
1,750,305.0,0.0
1,800,325.0,0.0
1,850,336.0,0.0
1,925,384.0,0.0
1,1135,2944.0,0.0
1,1200,4088.0,0.0
1,1345,4088.0,0.0
1,1400,4088.0,0.0
1,1450,4088.0,0.0
1,1550,4088.0,0.0
1,1600,481.0,0.0
1,1650,496.0,0.0
2,600,251.0,0.0
2,750,317.0,0.0
2,800,336.0,0.0
2,850,368.0,0.0
2,925,392.0,0.0
2,1135,2928.0,0.0
2,1200,4088.0,0.0
2,1345,4088.0,0.0
2,1400,4088.0,0.0
2,1450,4088.0,0.0
2,1550,4088.0,0.0
2,1600,495.0,0.0
2,1650,500.0,0.0
3,400,249.0,0.0
3,450,264.0,0.0
3,600,390.0,0.0
3,750,449.0,0.0
3,800,473.0,0.0
3,850,489.0,0.0
3,925,506.0,0.0
3,1135,2992.0,0.0
3,1200,4088.0,0.0
3,1345,4088.0,0.0
3,1400,4088.0,0.0
3,1450,4088.0,0.0
3,1550,4088.0,0.0
3,1600,4088.0,0.0
3,1650,4088.0,0.0
5,450,60.0,0.0
5,600,271.0,0.0
5,750,377.0,0.0
5,800,395.0,0.0
5,850,415.0,0.0
5,925,426.0,0.0
5,1135,4088.0,0.0
5,1200,4088.0,0.0
5,1345,4088.0,0.0
5,1400,4088.0,0.0
5,1450,4088.0,0.0
5,1550,4088.0,0.0
5,1600,512.0,0.0
5,1650,528.0,0.0
6,400,264.0,0.0
6,450,321.0,0.0
6,600,413.0,0.0
6,750,469.0,0.0
6,800,487.0,0.0
6,850,502.0,0.0
6,925,512.0,0.0
6,1135,4088.0,0.0
6,1200,4088.0,0.0
6,1345,4088.0,0.0
6,1400,4088.0,0.0
6,1450,4088.0,0.0
6,1550,568.0,0.0
6,1600,4088.0,0.0
6,1650,4088.0,0.0
7,400,181.0,0.0
7,450,260.0,0.0
7,600,350.0,0.0
7,750,392.0,0.0
7,800,440.0,0.0
7,850,454.0,0.0
7,925,463.0,0.0
7,1135,4088.0,0.0
7,1200,4088.0,0.0
7,1345,4088.0,0.0
7,1400,4088.0,0.0
7,1450,4088.0,0.0
7,1550,4088.0,0.0
7,1600,544.0,0.0
7,1650,4088.0,0.0
8,400,171.0,0.0
8,450,228.0,0.0
8,600,337.0,0.0
8,750,276.0,0.0
8,800,425.0,0.0
8,850,435.0,0.0
8,925,440.0,0.0
8,1135,4088.0,0.0
8,1200,4088.0,0.0
8,1345,4088.0,0.0
8,1400,4088.0,0.0
8,1450,4088.0,0.0
8,1550,536.0,0.0
8,1600,4088.0,0.0
8,1650,4088.0,0.0
10,400,260.0,0.0
10,450,287.0,0.0
10,600,397.0,0.0
