Channel,Amplitude,mean,std
2,600,140.0,0.0
2,1000,1032.0,0.0
2,2000,1032.0,0.0
2,3000,1648.0,0.0
2,4000,1712.0,0.0
4,600,147.0,0.0
4,1000,1040.0,0.0
4,2000,1056.0,0.0
4,3000,1648.0,0.0
4,4000,1720.0,0.0
5,600,170.0,0.0
5,1000,1048.0,0.0
5,2000,1088.0,0.0
5,3000,1664.0,0.0
5,4000,1712.0,0.0
10,600,190.0,0.0
10,1000,1072.0,0.0
10,2000,1120.0,0.0
10,3000,1680.0,0.0
10,4000,1744.0,0.0
11,600,153.0,0.0
11,1000,1024.0,0.0
11,2000,1088.0,0.0
11,3000,1504.0,0.0
11,4000,1560.0,0.0
12,600,203.0,0.0
12,1000,1080.0,0.0
12,2000,1136.0,0.0
12,3000,1688.0,0.0
12,4000,1760.0,0.0
13,600,197.0,0.0
13,1000,1064.0,0.0
13,2000,1128.0,0.0
13,3000,1672.0,0.0
13,4000,1736.0,0.0
14,600,199.0,0.0
14,1000,1064.0,0.0
14,2000,1128.0,0.0
14,3000,1672.0,0.0
14,4000,1736.0,0.0
15,600,185.0,0.0
15,1000,1048.0,0.0
15,2000,1120.0,0.0
15,3000,1648.0,0.0
15,4000,1600.0,0.0
16,1000,680.0,0.0
16,2000,536.0,0.0
16,3000,317.0,0.0
16,4000,1432.0,0.0
20,400,305.0,0.0
20,600,498.0,0.0
20,1000,1032.0,0.0
20,2000,1056.0,0.0
20,3000,1520.0,0.0
20,4000,1528.0,0.0
22,400,329.0,0.0
22,600,4088.0,0.0
22,1000,1040.0,0.0
22,2000,1056.0,0.0
22,3000,1640.0,0.0
22,4000,1712.0,0.0
24,400,328.0,0.0
24,600,4088.0,0.0
24,1000,1064.0,0.0
24,2000,1056.0,0.0
24,3000,1640.0,0.0
24,4000,1704.0,0.0
25,400,307.0,0.0
25,600,490.0,0.0
25,1000,1008.0,0.0
25,2000,992.0,0.0
25,3000,1600.0,0.0
25,4000,1664.0,0.0
26,400,336.0,0.0
26,600,536.0,0.0
26,1000,1064.0,0.0
26,2000,1024.0,0.0
26,3000,1656.0,0.0
26,4000,1720.0,0.0
27,400,325.0,0.0
27,600,500.0,0.0
27,1000,1040.0,0.0
27,2000,1000.0,0.0
27,3000,1624.0,0.0
27,4000,1688.0,0.0
29,400,330.0,0.0
29,600,528.0,0.0
29,1000,1048.0,0.0
29,2000,1000.0,0.0
29,3000,1640.0,0.0
29,4000,1712.0,0.0
31,400,304.0,0.0
31,600,469.0,0.0
31,1000,992.0,0.0
31,2000,968.0,0.0
31,3000,1608.0,0.0
31,4000,1664.0,0.0
32,400,327.0,0.0
32,600,511.0,0.0
32,1000,1040.0,0.0
32,2000,1008.0,0.0
32,3000,1640.0,0.0
32,4000,1704.0,0.0
33,400,337.0,0.0
33,600,4088.0,0.0
33,1000,1032.0,0.0
33,2000,1008.0,0.0
33,3000,1640.0,0.0
33,4000,1704.0,0.0
35,400,295.0,0.0
35,600,456.0,0.0
35,1000,984.0,0.0
35,2000,936.0,0.0
35,3000,1352.0,0.0
35,4000,1424.0,0.0
36,400,357.0,0.0
36,600,4088.0,0.0
36,1000,1032.0,0.0
36,2000,992.0,0.0
36,3000,1640.0,0.0
36,4000,1704.0,0.0
39,400,411.0,0.0
39,600,536.0,0.0
39,1000,1080.0,0.0
39,2000,1600.0,0.0
39,3000,1720.0,0.0
39,4000,1352.0,0.0
40,400,403.0,0.0
40,600,528.0,0.0
40,1000,1072.0,0.0
40,2000,1608.0,0.0
40,3000,1720.0,0.0
40,4000,1376.0,0.0
41,400,406.0,0.0
41,600,544.0,0.0
41,1000,1096.0,0.0
41,2000,1608.0,0.0
41,3000,4088.0,0.0
41,4000,1400.0,0.0
42,400,396.0,0.0
42,600,512.0,0.0
42,1000,4088.0,0.0
42,2000,1592.0,0.0
42,3000,1712.0,0.0
42,4000,1400.0,0.0
43,400,422.0,0.0
43,600,560.0,0.0
43,1000,1112.0,0.0
43,2000,3216.0,0.0
43,3000,1272.0,0.0
43,4000,1472.0,0.0
44,400,397.0,0.0
44,600,536.0,0.0
44,1000,1072.0,0.0
44,2000,1600.0,0.0
44,3000,1720.0,0.0
44,4000,1440.0,0.0
45,400,392.0,0.0
45,600,512.0,0.0
45,1000,1056.0,0.0
45,2000,1592.0,0.0
45,3000,1712.0,0.0
45,4000,1448.0,0.0
46,400,399.0,0.0
46,600,528.0,0.0
46,1000,1072.0,0.0
46,2000,1600.0,0.0
46,3000,1720.0,0.0
46,4000,1432.0,0.0
48,400,404.0,0.0
48,600,536.0,0.0
