Channel,Amplitude,mean,std
0,100,-100.0,
0,200,-100.0,
0,300,-100.0,
0,400,-100.0,
0,500,-100.0,
0,600,-100.0,
1,100,282.0,
1,200,369.0,
1,300,411.0,
1,400,411.0,
1,500,411.0,
1,600,411.0,
2,100,287.0,
2,200,657.0,
2,300,923.0,
2,400,923.0,
2,500,923.0,
2,600,923.0,
3,100,293.0,
3,200,668.0,
3,300,923.0,
3,400,923.0,
3,500,923.0,
3,600,923.0,
4,100,300.0,
4,200,687.0,
4,300,923.0,
4,400,923.0,
4,500,923.0,
4,600,923.0,
5,100,300.0,
5,200,678.0,
5,300,923.0,
5,400,923.0,
5,500,923.0,
5,600,923.0,
6,100,294.0,
6,200,668.0,
6,300,923.0,
6,400,923.0,
6,500,923.0,
6,600,923.0,
7,100,286.0,
7,200,658.0,
7,300,923.0,
7,400,923.0,
7,500,923.0,
7,600,923.0,
8,100,295.0,
8,200,670.0,
8,300,923.0,
8,400,923.0,
8,500,923.0,
8,600,923.0,
9,100,312.0,
9,200,697.0,
9,300,923.0,
9,400,923.0,
9,500,923.0,
9,600,923.0,
10,100,304.0,
10,200,691.0,
10,300,923.0,
10,400,923.0,
10,500,923.0,
10,600,923.0,
11,100,298.0,
11,200,688.0,
11,300,923.0,
11,400,923.0,
11,500,923.0,
11,600,923.0,
12,100,298.0,
12,200,685.0,
12,300,923.0,
12,400,923.0,
12,500,923.0,
12,600,923.0,
13,100,298.0,
13,200,688.0,
13,300,923.0,
13,400,923.0,
13,500,923.0,
13,600,923.0,
14,100,299.0,
14,200,684.0,
14,300,923.0,
14,400,923.0,
14,500,923.0,
14,600,923.0,
15,100,318.0,
15,200,712.0,
15,300,923.0,
15,400,923.0,
15,500,923.0,
15,600,923.0,
16,100,290.0,
16,200,676.0,
16,300,923.0,
16,400,923.0,
16,500,923.0,
16,600,923.0,
17,100,321.0,
17,200,716.0,
17,300,923.0,
17,400,923.0,
17,500,923.0,
17,600,923.0,
18,100,303.0,
18,200,693.0,
18,300,923.0,
18,400,923.0,
18,500,923.0,
18,600,923.0,
19,100,34.0,
19,200,35.0,
19,300,33.0,
19,400,36.0,
19,500,36.0,
19,600,37.0,
20,100,293.0,
20,200,680.0,
20,300,923.0,
20,400,923.0,
20,500,923.0,
20,600,923.0,
21,100,309.0,
21,200,704.0,
21,300,923.0,
21,400,923.0,
21,500,923.0,
21,600,923.0,
22,100,291.0,
22,200,676.0,
22,300,923.0,
22,400,923.0,
22,500,923.0,
22,600,923.0,
23,100,294.0,
23,200,680.0,
23,300,923.0,
23,400,923.0,
23,500,923.0,
23,600,923.0,
24,100,292.0,
24,200,679.0,
24,300,923.0,
24,400,923.0,
24,500,923.0,
24,600,923.0,
25,100,283.0,
25,200,660.0,
25,300,923.0,
25,400,923.0,
25,500,923.0,
25,600,923.0,
26,100,310.0,
26,200,704.0,
26,300,923.0,
26,400,923.0,
26,500,923.0,
26,600,923.0,
27,100,290.0,
27,200,669.0,
27,300,923.0,
27,400,923.0,
27,500,923.0,
27,600,923.0,
28,100,299.0,
28,200,688.0,
28,300,923.0,
28,400,923.0,
28,500,923.0,
28,600,923.0,
29,100,303.0,
29,200,692.0,
29,300,923.0,
29,400,923.0,
29,500,923.0,
29,600,923.0,
30,100,292.0,
30,200,673.0,
30,300,923.0,
30,400,923.0,
30,500,923.0,
30,600,923.0,
31,100,270.0,
31,200,634.0,
31,300,923.0,
31,400,923.0,
31,500,923.0,
31,600,923.0,
32,100,299.0,
32,200,688.0,
32,300,923.0,
32,400,923.0,
32,500,923.0,
32,600,923.0,
33,100,283.0,
33,200,649.0,
33,300,923.0,
33,400,923.0,
33,500,923.0,
33,600,923.0,
34,100,295.0,
34,200,677.0,
34,300,923.0,
34,400,923.0,
34,500,923.0,
34,600,923.0,
35,100,286.0,
35,200,657.0,
35,300,923.0,
35,400,923.0,
35,500,923.0,
35,600,923.0,
36,100,286.0,
36,200,657.0,
36,300,923.0,
36,400,923.0,
36,500,923.0,
36,600,923.0,
37,100,-100.0,
37,200,-100.0,
37,300,-100.0,
37,400,-100.0,
37,500,-100.0,
37,600,-100.0,
38,100,-100.0,
38,200,-100.0,
38,300,-100.0,
38,400,-100.0,
38,500,-100.0,
38,600,-100.0,
39,100,288.0,
39,200,661.0,
39,300,923.0,
39,400,923.0,
39,500,923.0,
39,600,923.0,
40,100,283.0,
40,200,651.0,
40,300,923.0,
40,400,923.0,
40,500,923.0,
40,600,923.0,
41,100,290.0,
41,200,675.0,
41,300,923.0,
41,400,923.0,
41,500,923.0,
41,600,923.0,
42,100,280.0,
42,200,640.0,
42,300,923.0,
42,400,923.0,
42,500,923.0,
42,600,923.0,
43,100,306.0,
43,200,691.0,
43,300,923.0,
43,400,923.0,
43,500,923.0,
43,600,923.0,
44,100,286.0,
44,200,662.0,
44,300,923.0,
44,400,923.0,
44,500,923.0,
44,600,923.0,
45,100,281.0,
45,200,645.0,
45,300,923.0,
45,400,923.0,
45,500,923.0,
45,600,923.0,
46,100,286.0,
46,200,661.0,
46,300,923.0,
46,400,923.0,
46,500,923.0,
46,600,923.0,
47,100,298.0,
47,200,674.0,
47,300,923.0,
47,400,923.0,
47,500,923.0,
47,600,923.0,
48,100,283.0,
48,200,668.0,
48,300,923.0,
48,400,923.0,
48,500,923.0,
48,600,923.0,
49,100,279.0,
49,200,650.0,
49,300,923.0,
49,400,923.0,
49,500,923.0,
49,600,923.0,
50,100,285.0,
50,200,650.0,
50,300,923.0,
50,400,923.0,
50,500,923.0,
50,600,923.0,
51,100,302.0,
51,200,686.0,
51,300,923.0,
51,400,923.0,
51,500,923.0,
51,600,923.0,
52,100,296.0,
52,200,684.0,
52,300,923.0,
52,400,923.0,
52,500,923.0,
52,600,923.0,
53,100,292.0,
53,200,662.0,
53,300,923.0,
53,400,923.0,
53,500,923.0,
53,600,923.0,
54,100,301.0,
54,200,691.0,
54,300,923.0,
54,400,923.0,
54,500,923.0,
54,600,923.0,
55,100,296.0,
55,200,684.0,
55,300,923.0,
55,400,923.0,
55,500,923.0,
55,600,923.0,
56,100,282.0,
56,200,656.0,
56,300,923.0,
56,400,923.0,
56,500,923.0,
56,600,923.0,
57,100,26.0,
57,200,26.0,
57,300,26.0,
57,400,27.0,
57,500,27.0,
57,600,29.0,
58,100,302.0,
58,200,682.0,
58,300,923.0,
58,400,923.0,
58,500,923.0,
58,600,923.0,
59,100,325.0,
59,200,710.0,
59,300,923.0,
59,400,923.0,
59,500,923.0,
59,600,923.0,
60,100,296.0,
60,200,676.0,
60,300,923.0,
60,400,923.0,
60,500,923.0,
60,600,923.0,
61,100,297.0,
61,200,676.0,
61,300,923.0,
61,400,923.0,
61,500,923.0,
61,600,923.0,
62,100,291.0,
62,200,670.0,
62,300,923.0,
62,400,923.0,
62,500,923.0,
62,600,923.0,
63,100,300.0,
63,200,688.0,
63,300,923.0,
63,400,923.0,
63,500,923.0,
63,600,923.0,
64,100,296.0,
64,200,677.0,
64,300,923.0,
64,400,923.0,
64,500,923.0,
64,600,923.0,
65,100,290.0,
65,200,664.0,
65,300,923.0,
65,400,923.0,
65,500,923.0,
65,600,923.0,
66,100,292.0,
66,200,668.0,
66,300,923.0,
66,400,923.0,
66,500,923.0,
66,600,923.0,
67,100,293.0,
67,200,668.0,
67,300,923.0,
67,400,923.0,
67,500,923.0,
67,600,923.0,
68,100,293.0,
68,200,670.0,
68,300,923.0,
68,400,923.0,
68,500,923.0,
68,600,923.0,
69,100,300.0,
69,200,684.0,
69,300,923.0,
69,400,923.0,
69,500,923.0,
69,600,923.0,
70,100,289.0,
70,200,662.0,
70,300,923.0,
70,400,923.0,
70,500,923.0,
