Channel,Amplitude,mean,std
0,200,-100.0,
0,500,-100.0,
1,200,399.0,
1,500,411.0,
2,200,660.0,
2,500,923.0,
3,200,670.0,
3,500,923.0,
4,200,691.0,
4,500,923.0,
5,200,684.0,
5,500,923.0,
6,200,668.0,
6,500,923.0,
7,200,661.0,
7,500,923.0,
8,200,677.0,
8,500,923.0,
9,200,701.0,
9,500,923.0,
10,200,693.0,
10,500,923.0,
11,200,690.0,
11,500,923.0,
12,200,685.0,
12,500,923.0,
13,200,688.0,
13,500,923.0,
14,200,687.0,
14,500,923.0,
15,200,714.0,
15,500,923.0,
16,200,677.0,
16,500,923.0,
17,200,723.0,
17,500,923.0,
18,200,694.0,
18,500,923.0,
19,200,32.0,
19,500,36.0,
20,200,684.0,
20,500,923.0,
21,200,702.0,
21,500,923.0,
22,200,674.0,
22,500,923.0,
23,200,681.0,
23,500,923.0,
24,200,681.0,
24,500,923.0,
25,200,665.0,
25,500,923.0,
26,200,706.0,
26,500,923.0,
27,200,674.0,
27,500,923.0,
28,200,692.0,
28,500,923.0,
29,200,697.0,
29,500,923.0,
30,200,679.0,
30,500,923.0,
31,200,637.0,
31,500,923.0,
32,200,686.0,
32,500,923.0,
33,200,652.0,
33,500,923.0,
34,200,672.0,
34,500,923.0,
35,200,660.0,
35,500,923.0,
36,200,659.0,
36,500,923.0,
37,200,-100.0,
37,500,-100.0,
38,200,-100.0,
38,500,-100.0,
39,200,665.0,
39,500,923.0,
40,200,656.0,
40,500,923.0,
41,200,674.0,
41,500,923.0,
42,200,640.0,
42,500,923.0,
43,200,693.0,
43,500,923.0,
44,200,668.0,
44,500,923.0,
45,200,644.0,
45,500,923.0,
46,200,658.0,
46,500,923.0,
47,200,672.0,
47,500,923.0,
48,200,657.0,
48,500,923.0,
49,200,652.0,
49,500,923.0,
50,200,652.0,
50,500,923.0,
51,200,684.0,
51,500,923.0,
52,200,684.0,
52,500,923.0,
53,200,668.0,
53,500,923.0,
54,200,690.0,
54,500,923.0,
55,200,685.0,
55,500,923.0,
56,200,656.0,
56,500,923.0,
57,200,26.0,
57,500,27.0,
58,200,686.0,
58,500,923.0,
59,200,710.0,
59,500,923.0,
60,200,676.0,
60,500,923.0,
61,200,680.0,
61,500,923.0,
62,200,671.0,
62,500,923.0,
63,200,686.0,
63,500,923.0,
64,200,680.0,
64,500,923.0,
65,200,659.0,
65,500,923.0,
66,200,670.0,
66,500,923.0,
67,200,670.0,
67,500,923.0,
68,200,671.0,
68,500,923.0,
69,200,684.0,
69,500,923.0,
70,200,662.0,
70,500,923.0,
71,200,660.0,
71,500,923.0,
72,200,652.0,
72,500,923.0,
73,200,661.0,
73,500,923.0,
74,200,652.0,
74,500,923.0,
75,200,-100.0,
75,500,-100.0,
76,200,-100.0,
76,500,-100.0,
77,200,652.0,
77,500,923.0,
78,200,653.0,
78,500,923.0,
79,200,669.0,
79,500,923.0,
80,200,685.0,
80,500,923.0,
81,200,690.0,
81,500,923.0,
82,200,702.0,
82,500,923.0,
83,200,680.0,
83,500,923.0,
84,200,718.0,
84,500,923.0,
85,200,674.0,
85,500,923.0,
86,200,682.0,
86,500,923.0,
87,200,688.0,
87,500,923.0,
88,200,652.0,
88,500,923.0,
89,200,698.0,
89,500,923.0,
90,200,702.0,
90,500,923.0,
91,200,676.0,
91,500,923.0,
92,200,668.0,
92,500,923.0,
93,200,668.0,
93,500,923.0,
94,200,706.0,
94,500,923.0,
95,200,-2.0,
95,500,-1.0,
96,200,716.0,
96,500,923.0,
97,200,702.0,
97,500,923.0,
98,200,700.0,
98,500,923.0,
99,200,712.0,
99,500,923.0,
100,200,690.0,
100,500,923.0,
101,200,713.0,
101,500,923.0,
102,200,694.0,
102,500,923.0,
103,200,704.0,
103,500,923.0,
104,200,711.0,
104,500,923.0,
105,200,714.0,
105,500,923.0,
106,200,696.0,
106,500,923.0,
107,200,688.0,
107,500,923.0,
108,200,678.0,
108,500,923.0,
109,200,637.0,
109,500,923.0,
110,200,676.0,
110,500,923.0,
111,200,647.0,
111,500,923.0,
112,200,631.0,
112,500,923.0,
113,200,-100.0,
113,500,-100.0,
114,200,-100.0,
114,500,-100.0,
115,200,668.0,
115,500,923.0,
116,200,652.0,
116,500,923.0,
117,200,690.0,
117,500,923.0,
118,200,707.0,
118,500,923.0,
119,200,716.0,
119,500,923.0,
120,200,702.0,
120,500,923.0,
121,200,706.0,
121,500,923.0,
122,200,701.0,
122,500,923.0,
123,200,691.0,
123,500,923.0,
124,200,706.0,
124,500,923.0,
125,200,680.0,
125,500,923.0,
126,200,713.0,
126,500,923.0,
127,200,701.0,
127,500,923.0,
128,200,693.0,
128,500,923.0,
129,200,692.0,
129,500,923.0,
130,200,717.0,
130,500,923.0,
131,200,684.0,
131,500,923.0,
132,200,684.0,
132,500,923.0,
133,200,1.0,
133,500,2.0,
134,200,697.0,
134,500,923.0,
135,200,713.0,
135,500,923.0,
136,200,690.0,
136,500,923.0,
137,200,700.0,
137,500,923.0,
138,200,688.0,
138,500,923.0,
139,200,689.0,
139,500,923.0,
140,200,672.0,
140,500,923.0,
141,200,685.0,
141,500,923.0,
142,200,703.0,
142,500,923.0,
143,200,670.0,
143,500,923.0,
144,200,694.0,
144,500,923.0,
145,200,684.0,
145,500,923.0,
146,200,688.0,
146,500,923.0,
147,200,714.0,
147,500,923.0,
148,200,687.0,
148,500,923.0,
149,200,656.0,
149,500,923.0,
150,200,653.0,
150,500,923.0,
151,200,-100.0,
151,500,-100.0,
