Channel,Amplitude,mean,std
2,500,560.0,0.0
2,800,872.0,0.0
2,1100,1240.0,0.0
2,1400,1616.0,0.0
2,1700,1936.0,0.0
2,2000,2192.0,0.0
2,2300,2392.0,0.0
2,2600,2544.0,0.0
2,2900,2672.0,0.0
2,3200,2768.0,0.0
2,3500,2856.0,0.0
4,500,560.0,0.0
4,800,880.0,0.0
4,1100,1256.0,0.0
4,1400,1640.0,0.0
4,1700,1968.0,0.0
4,2000,2232.0,0.0
4,2300,2432.0,0.0
4,2600,2592.0,0.0
4,2900,2720.0,0.0
4,3200,2816.0,0.0
4,3500,2904.0,0.0
5,500,568.0,0.0
5,800,872.0,0.0
5,1100,1280.0,0.0
5,1400,1648.0,0.0
5,1700,1968.0,0.0
5,2000,2240.0,0.0
5,2300,2448.0,0.0
5,2600,2608.0,0.0
5,2900,2736.0,0.0
5,3200,2848.0,0.0
5,3500,2936.0,0.0
10,500,584.0,0.0
10,800,912.0,0.0
10,1100,1296.0,0.0
10,1400,1680.0,0.0
10,1700,2008.0,0.0
10,2000,2280.0,0.0
10,2300,2496.0,0.0
10,2600,2664.0,0.0
10,2900,2792.0,0.0
10,3200,2904.0,0.0
10,3500,2984.0,0.0
11,500,544.0,0.0
11,800,872.0,0.0
11,1100,1264.0,0.0
11,1400,1632.0,0.0
11,1700,1960.0,0.0
11,2000,2240.0,0.0
11,2300,2448.0,0.0
11,2600,2616.0,0.0
11,2900,2744.0,0.0
11,3200,2856.0,0.0
11,3500,2928.0,0.0
12,500,592.0,0.0
12,800,912.0,0.0
12,1100,1304.0,0.0
12,1400,1680.0,0.0
12,1700,2016.0,0.0
12,2000,2288.0,0.0
12,2300,2504.0,0.0
12,2600,2664.0,0.0
12,2900,2800.0,0.0
12,3200,2904.0,0.0
12,3500,2992.0,0.0
13,500,568.0,0.0
13,800,904.0,0.0
13,1100,1280.0,0.0
13,1400,1664.0,0.0
13,1700,1992.0,0.0
13,2000,2272.0,0.0
13,2300,2480.0,0.0
13,2600,2648.0,0.0
13,2900,2784.0,0.0
13,3200,2888.0,0.0
13,3500,2976.0,0.0
14,500,576.0,0.0
14,800,896.0,0.0
14,1100,1288.0,0.0
14,1400,1664.0,0.0
14,1700,1992.0,0.0
14,2000,2272.0,0.0
14,2300,2480.0,0.0
14,2600,2656.0,0.0
14,2900,2784.0,0.0
14,3200,2888.0,0.0
14,3500,2976.0,0.0
15,500,560.0,0.0
15,800,888.0,0.0
15,1100,1280.0,0.0
15,1400,1664.0,0.0
15,1700,1992.0,0.0
15,2000,2280.0,0.0
15,2300,2488.0,0.0
15,2600,2656.0,0.0
15,2900,2792.0,0.0
15,3200,2896.0,0.0
15,3500,2984.0,0.0
16,500,512.0,0.0
16,800,848.0,0.0
16,1100,552.0,0.0
16,1400,808.0,0.0
16,1700,1152.0,0.0
16,2000,1608.0,0.0
16,2300,1832.0,0.0
16,2600,2008.0,0.0
16,2900,2224.0,0.0
16,3200,443.0,0.0
16,3500,199.0,0.0
20,500,536.0,0.0
20,800,864.0,0.0
20,1100,1256.0,0.0
20,1400,1616.0,0.0
20,1700,1952.0,0.0
20,2000,2224.0,0.0
20,2300,2440.0,0.0
20,2600,2600.0,0.0
20,2900,2736.0,0.0
20,3200,2840.0,0.0
20,3500,2928.0,0.0
22,500,560.0,0.0
22,800,880.0,0.0
22,1100,1256.0,0.0
22,1400,1632.0,0.0
22,1700,1952.0,0.0
22,2000,2224.0,0.0
22,2300,2432.0,0.0
22,2600,2592.0,0.0
22,2900,2720.0,0.0
22,3200,2832.0,0.0
22,3500,2912.0,0.0
23,1400,348.0,0.0
23,2900,1984.0,0.0
23,3200,1768.0,0.0
23,3500,2288.0,0.0
24,500,560.0,0.0
24,800,896.0,0.0
24,1100,1264.0,0.0
24,1400,1640.0,0.0
24,1700,1960.0,0.0
24,2000,2232.0,0.0
24,2300,2448.0,0.0
24,2600,2600.0,0.0
24,2900,2728.0,0.0
24,3200,2840.0,0.0
24,3500,2928.0,0.0
25,500,528.0,0.0
25,800,840.0,0.0
25,1100,1208.0,0.0
25,1400,1576.0,0.0
25,1700,1912.0,0.0
25,2000,2168.0,0.0
25,2300,2376.0,0.0
25,2600,2528.0,0.0
25,2900,2656.0,0.0
25,3200,2760.0,0.0
25,3500,2848.0,0.0
26,500,576.0,0.0
26,800,896.0,0.0
26,1100,1288.0,0.0
26,1400,1656.0,0.0
26,1700,1984.0,0.0
26,2000,2248.0,0.0
26,2300,2456.0,0.0
26,2600,2616.0,0.0
26,2900,2736.0,0.0
26,3200,2848.0,0.0
26,3500,2928.0,0.0
27,500,544.0,0.0
27,800,872.0,0.0
27,1100,1240.0,0.0
27,1400,1608.0,0.0
27,1700,1936.0,0.0
27,2000,2200.0,0.0
27,2300,2408.0,0.0
27,2600,2568.0,0.0
27,2900,2696.0,0.0
27,3200,2792.0,0.0
27,3500,2888.0,0.0
29,500,552.0,0.0
29,800,880.0,0.0
29,1100,1272.0,0.0
29,1400,1664.0,0.0
29,1700,1968.0,0.0
29,2000,2232.0,0.0
29,2300,2440.0,0.0
29,2600,2584.0,0.0
29,2900,2720.0,0.0
29,3200,2824.0,0.0
29,3500,2912.0,0.0
31,500,528.0,0.0
31,800,832.0,0.0
31,1100,1192.0,0.0
31,1400,1560.0,0.0
31,1700,1888.0,0.0
31,2000,2144.0,0.0
31,2300,2344.0,0.0
31,2600,2496.0,0.0
31,2900,2624.0,0.0
31,3200,2728.0,0.0
31,3500,2816.0,0.0
32,500,560.0,0.0
32,800,864.0,0.0
32,1100,1256.0,0.0
32,1400,1632.0,0.0
32,1700,1952.0,0.0
32,2000,2216.0,0.0
32,2300,2416.0,0.0
32,2600,2568.0,0.0
32,2900,2696.0,0.0
32,3200,2800.0,0.0
32,3500,2880.0,0.0
33,500,568.0,0.0
33,800,872.0,0.0
33,1100,1240.0,0.0
33,1400,1608.0,0.0
33,1700,1928.0,0.0
33,2000,2200.0,0.0
33,2300,2384.0,0.0
33,2600,2552.0,0.0
33,2900,2664.0,0.0
33,3200,2776.0,0.0
33,3500,2856.0,0.0
35,500,512.0,0.0
35,800,824.0,0.0
35,1100,1192.0,0.0
35,1400,1560.0,0.0
35,1700,1872.0,0.0
35,2000,2136.0,0.0
35,2300,2328.0,0.0
35,2600,2472.0,0.0
35,2900,2600.0,0.0
35,3200,2336.0,0.0
35,3500,2432.0,0.0
36,500,560.0,0.0
36,800,864.0,0.0
36,1100,1240.0,0.0
36,1400,1600.0,0.0
36,1700,1936.0,0.0
36,2000,2192.0,0.0
36,2300,2368.0,0.0
36,2600,2512.0,0.0
36,2900,2640.0,0.0
36,3200,2736.0,0.0
36,3500,2840.0,0.0
39,500,608.0,0.0
39,800,920.0,0.0
39,1100,1288.0,0.0
39,1400,1664.0,0.0
39,1700,1992.0,0.0
39,2000,2264.0,0.0
39,2300,2472.0,0.0
39,2600,2632.0,0.0
39,2900,2768.0,0.0
39,3200,2872.0,0.0
39,3500,2960.0,0.0
40,500,608.0,0.0
40,800,928.0,0.0
40,1100,1280.0,0.0
40,1400,1648.0,0.0
40,1700,1976.0,0.0
40,2000,2256.0,0.0
40,2300,2472.0,0.0
40,2600,2640.0,0.0
40,2900,2768.0,0.0
40,3200,2880.0,0.0
40,3500,2968.0,0.0
41,500,616.0,0.0
