Channel,Amplitude,mean,std
2,300,383.0,0.0
2,400,497.0,0.0
2,500,600.0,0.0
2,600,704.0,0.0
2,700,832.0,0.0
2,800,936.0,0.0
2,900,1040.0,0.0
2,1000,1160.0,0.0
4,300,353.0,0.0
4,400,481.0,0.0
4,500,600.0,0.0
4,600,712.0,0.0
4,700,824.0,0.0
4,800,944.0,0.0
4,900,1064.0,0.0
4,1000,1184.0,0.0
5,300,374.0,0.0
5,400,495.0,0.0
5,500,608.0,0.0
5,600,720.0,0.0
5,700,832.0,0.0
5,800,936.0,0.0
5,900,1048.0,0.0
5,1000,1176.0,0.0
10,300,394.0,0.0
10,400,512.0,0.0
10,500,624.0,0.0
10,600,736.0,0.0
10,700,832.0,0.0
10,800,960.0,0.0
10,900,1072.0,0.0
10,1000,1216.0,0.0
11,300,328.0,0.0
11,400,461.0,0.0
11,500,584.0,0.0
11,600,696.0,0.0
11,700,816.0,0.0
11,800,936.0,0.0
11,900,1056.0,0.0
11,1000,1168.0,0.0
12,300,416.0,0.0
12,400,528.0,0.0
12,500,640.0,0.0
12,600,744.0,0.0
12,700,864.0,0.0
12,800,984.0,0.0
12,900,1104.0,0.0
12,1000,1224.0,0.0
13,300,396.0,0.0
13,400,512.0,0.0
13,500,616.0,0.0
13,600,728.0,0.0
13,700,848.0,0.0
13,800,968.0,0.0
13,900,1080.0,0.0
13,1000,1208.0,0.0
14,300,403.0,0.0
14,400,512.0,0.0
14,500,624.0,0.0
14,600,736.0,0.0
14,700,848.0,0.0
14,800,968.0,0.0
14,900,1080.0,0.0
14,1000,1208.0,0.0
15,300,350.0,0.0
15,400,483.0,0.0
15,500,600.0,0.0
15,600,720.0,0.0
15,700,832.0,0.0
15,800,960.0,0.0
15,900,1072.0,0.0
15,1000,1200.0,0.0
16,400,435.0,0.0
16,500,544.0,0.0
16,600,656.0,0.0
16,700,792.0,0.0
16,800,81.0,0.0
16,900,1024.0,0.0
16,1000,616.0,0.0
20,300,323.0,0.0
20,400,458.0,0.0
20,500,576.0,0.0
20,600,688.0,0.0
20,700,808.0,0.0
20,800,928.0,0.0
20,900,1040.0,0.0
20,1000,1160.0,0.0
22,300,384.0,0.0
22,400,499.0,0.0
22,500,608.0,0.0
22,600,712.0,0.0
22,700,824.0,0.0
22,800,944.0,0.0
22,900,1056.0,0.0
22,1000,1176.0,0.0
24,300,385.0,0.0
24,400,502.0,0.0
24,500,624.0,0.0
24,600,712.0,0.0
24,700,824.0,0.0
24,800,944.0,0.0
24,900,1056.0,0.0
24,1000,1176.0,0.0
25,300,333.0,0.0
25,400,465.0,0.0
25,500,576.0,0.0
25,600,680.0,0.0
25,700,792.0,0.0
25,800,904.0,0.0
25,900,1016.0,0.0
25,1000,1136.0,0.0
26,300,396.0,0.0
26,400,512.0,0.0
26,500,624.0,0.0
26,600,712.0,0.0
26,700,848.0,0.0
26,800,968.0,0.0
26,900,1080.0,0.0
26,1000,1208.0,0.0
27,300,350.0,0.0
27,400,475.0,0.0
27,500,592.0,0.0
27,600,696.0,0.0
27,700,808.0,0.0
27,800,920.0,0.0
27,900,1040.0,0.0
27,1000,1160.0,0.0
29,300,364.0,0.0
29,400,487.0,0.0
29,500,600.0,0.0
29,600,712.0,0.0
29,700,824.0,0.0
29,800,952.0,0.0
29,900,1048.0,0.0
29,1000,1208.0,0.0
31,300,334.0,0.0
31,400,460.0,0.0
31,500,568.0,0.0
31,600,672.0,0.0
31,700,776.0,0.0
31,800,904.0,0.0
31,900,1008.0,0.0
31,1000,1120.0,0.0
32,300,367.0,0.0
32,400,494.0,0.0
32,500,600.0,0.0
32,600,712.0,0.0
32,700,824.0,0.0
32,800,936.0,0.0
32,900,1040.0,0.0
32,1000,1184.0,0.0
33,300,385.0,0.0
33,400,499.0,0.0
33,500,608.0,0.0
33,600,712.0,0.0
33,700,816.0,0.0
33,800,936.0,0.0
33,900,1048.0,0.0
33,1000,1168.0,0.0
35,300,252.0,0.0
35,400,424.0,0.0
35,500,544.0,0.0
35,600,656.0,0.0
35,700,768.0,0.0
35,800,888.0,0.0
35,900,1000.0,0.0
35,1000,1112.0,0.0
36,300,385.0,0.0
36,400,500.0,0.0
36,500,600.0,0.0
36,600,704.0,0.0
36,700,832.0,0.0
36,800,936.0,0.0
36,900,1040.0,0.0
36,1000,1160.0,0.0
39,300,463.0,0.0
39,400,560.0,0.0
39,500,656.0,0.0
39,600,760.0,0.0
39,700,864.0,0.0
39,800,984.0,0.0
39,900,1096.0,0.0
39,1000,1216.0,0.0
40,300,459.0,0.0
40,400,552.0,0.0
40,500,656.0,0.0
40,600,752.0,0.0
40,700,864.0,0.0
40,800,976.0,0.0
40,900,1088.0,0.0
40,1000,1208.0,0.0
41,300,461.0,0.0
41,400,552.0,0.0
41,500,656.0,0.0
41,600,760.0,0.0
41,700,872.0,0.0
41,800,1000.0,0.0
41,900,1104.0,0.0
41,1000,1232.0,0.0
42,300,445.0,0.0
42,400,544.0,0.0
42,500,648.0,0.0
42,600,744.0,0.0
42,700,848.0,0.0
42,800,960.0,0.0
42,900,1072.0,0.0
42,1000,1192.0,0.0
43,300,474.0,0.0
43,400,576.0,0.0
43,500,672.0,0.0
43,600,784.0,0.0
43,700,896.0,0.0
43,800,1024.0,0.0
43,900,1144.0,0.0
43,1000,1264.0,0.0
44,300,449.0,0.0
44,400,544.0,0.0
44,500,656.0,0.0
44,600,752.0,0.0
44,700,864.0,0.0
44,800,976.0,0.0
44,900,1088.0,0.0
44,1000,1216.0,0.0
45,300,437.0,0.0
45,400,536.0,0.0
45,500,648.0,0.0
45,600,728.0,0.0
45,700,848.0,0.0
45,800,960.0,0.0
45,900,1080.0,0.0
45,1000,1192.0,0.0
46,300,451.0,0.0
46,400,552.0,0.0
46,500,656.0,0.0
46,600,752.0,0.0
46,700,864.0,0.0
46,800,984.0,0.0
46,900,1096.0,0.0
46,1000,1216.0,0.0
48,300,461.0,0.0
48,400,552.0,0.0
48,500,664.0,0.0
48,600,760.0,0.0
48,700,864.0,0.0
48,800,984.0,0.0
48,900,1096.0,0.0
48,1000,1216.0,0.0
49,300,440.0,0.0
49,400,544.0,0.0
49,500,648.0,0.0
49,600,744.0,0.0
49,700,856.0,0.0
49,800,968.0,0.0
49,900,1080.0,0.0
49,1000,1200.0,0.0
50,300,465.0,0.0
50,400,560.0,0.0
50,500,656.0,0.0
50,600,760.0,0.0
50,700,864.0,0.0
50,800,984.0,0.0
50,900,1096.0,0.0
50,1000,1216.0,0.0
51,300,453.0,0.0
51,400,544.0,0.0
51,500,648.0,0.0
51,600,752.0,0.0
51,700,864.0,0.0
51,800,984.0,0.0
51,900,1096.0,0.0
51,1000,1216.0,0.0
52,300,454.0,0.0
52,400,552.0,0.0
52,500,656.0,0.0
52,600,760.0,0.0
52,700,872.0,0.0
52,800,992.0,0.0
52,900,1112.0,0.0
52,1000,1224.0,0.0
53,300,446.0,0.0
53,400,544.0,0.0
53,500,648.0,0.0
53,600,744.0,0.0
53,700,856.0,0.0
53,800,968.0,0.0
53,900,1088.0,0.0
53,1000,1208.0,0.0
54,300,486.0,0.0
54,400,600.0,0.0
54,500,680.0,0.0
54,600,800.0,0.0
54,700,896.0,0.0
54,800,1008.0,0.0
54,900,1128.0,0.0
54,1000,1264.0,0.0
55,300,459.0,0.0
55,400,552.0,0.0
55,500,656.0,0.0
55,600,760.0,0.0
55,700,872.0,0.0
55,800,992.0,0.0
55,900,1104.0,0.0
55,1000,1224.0,0.0
58,300,465.0,0.0
58,400,560.0,0.0
58,500,664.0,0.0
58,600,768.0,0.0
58,700,872.0,0.0
58,800,992.0,0.0
58,900,1104.0,0.0
58,1000,1224.0,0.0
59,300,463.0,0.0
59,400,560.0,0.0
59,500,664.0,0.0
59,600,768.0,0.0
59,700,880.0,0.0
59,800,1000.0,0.0
59,900,1120.0,0.0
59,1000,1240.0,0.0
60,300,456.0,0.0
60,400,544.0,0.0
60,500,656.0,0.0
60,600,752.0,0.0
60,700,856.0,0.0
60,800,984.0,0.0
60,900,1096.0,0.0
60,1000,1216.0,0.0
61,300,458.0,0.0
61,400,544.0,0.0
61,500,656.0,0.0
61,600,760.0,0.0
61,700,864.0,0.0
61,800,984.0,0.0
61,900,1096.0,0.0
61,1000,1216.0,0.0
62,300,440.0,0.0
62,400,544.0,0.0
62,500,648.0,0.0
62,600,744.0,0.0
62,700,856.0,0.0
62,800,976.0,0.0
62,900,1088.0,0.0
62,1000,1208.0,0.0
63,300,466.0,0.0
63,400,560.0,0.0
63,500,664.0,0.0
63,600,760.0,0.0
63,700,872.0,0.0
63,800,992.0,0.0
63,900,1112.0,0.0
63,1000,1224.0,0.0
64,300,440.0,0.0
64,400,520.0,0.0
64,500,640.0,0.0
64,600,744.0,0.0
64,700,856.0,0.0
64,800,976.0,0.0
64,900,1088.0,0.0
64,1000,1208.0,0.0
65,300,418.0,0.0
65,400,506.0,0.0
65,500,624.0,0.0
65,600,712.0,0.0
65,700,832.0,0.0
65,800,944.0,0.0
65,900,1056.0,0.0
65,1000,1176.0,0.0
67,300,429.0,0.0
67,400,528.0,0.0
67,500,640.0,0.0
67,600,728.0,0.0
67,700,840.0,0.0
67,800,960.0,0.0
67,900,1072.0,0.0
67,1000,1192.0,0.0
68,300,357.0,0.0
68,400,479.0,0.0
68,500,584.0,0.0
68,600,696.0,0.0
68,700,816.0,0.0
68,800,928.0,0.0
68,900,1040.0,0.0
68,1000,1160.0,0.0
69,300,419.0,0.0
69,400,520.0,0.0
69,500,624.0,0.0
69,600,728.0,0.0
69,700,840.0,0.0
69,800,960.0,0.0
69,900,1080.0,0.0
69,1000,1192.0,0.0
70,300,400.0,0.0
70,400,502.0,0.0
70,500,608.0,0.0
70,600,712.0,0.0
70,700,816.0,0.0
70,800,936.0,0.0
70,900,1048.0,0.0
70,1000,1168.0,0.0
71,300,405.0,0.0
71,400,508.0,0.0
71,500,608.0,0.0
71,600,712.0,0.0
71,700,816.0,0.0
71,800,936.0,0.0
71,900,1048.0,0.0
71,1000,1168.0,0.0
72,300,382.0,0.0
72,400,492.0,0.0
72,500,608.0,0.0
72,600,688.0,0.0
72,700,800.0,0.0
72,800,912.0,0.0
72,900,1024.0,0.0
72,1000,1160.0,0.0
73,300,419.0,0.0
73,400,520.0,0.0
73,500,616.0,0.0
73,600,728.0,0.0
73,700,840.0,0.0
73,800,952.0,0.0
73,900,1064.0,0.0
73,1000,1184.0,0.0
74,300,388.0,0.0
74,400,497.0,0.0
74,500,608.0,0.0
74,600,704.0,0.0
74,700,816.0,0.0
74,800,936.0,0.0
74,900,1048.0,0.0
74,1000,1160.0,0.0
79,300,341.0,0.0
79,400,475.0,0.0
79,500,592.0,0.0
79,600,704.0,0.0
79,700,824.0,0.0
79,800,936.0,0.0
79,900,1072.0,0.0
79,1000,1176.0,0.0
80,900,576.0,0.0
80,1000,191.0,0.0
86,300,425.0,0.0
86,400,536.0,0.0
86,500,648.0,0.0
86,600,752.0,0.0
86,700,872.0,0.0
86,800,992.0,0.0
86,900,1112.0,0.0
86,1000,1240.0,0.0
88,300,337.0,0.0
88,400,468.0,0.0
88,500,592.0,0.0
88,600,688.0,0.0
88,700,800.0,0.0
88,800,912.0,0.0
88,900,1024.0,0.0
88,1000,1128.0,0.0
91,300,320.0,0.0
91,400,461.0,0.0
91,500,584.0,0.0
91,600,688.0,0.0
91,700,808.0,0.0
91,800,928.0,0.0
91,900,1040.0,0.0
91,1000,1168.0,0.0
97,300,355.0,0.0
97,400,484.0,0.0
97,500,600.0,0.0
97,600,704.0,0.0
97,700,824.0,0.0
97,800,936.0,0.0
97,900,1064.0,0.0
97,1000,1184.0,0.0
98,300,376.0,0.0
98,400,502.0,0.0
98,500,608.0,0.0
98,600,712.0,0.0
98,700,832.0,0.0
98,800,952.0,0.0
98,900,1072.0,0.0
98,1000,1192.0,0.0
103,300,332.0,0.0
103,400,471.0,0.0
103,500,592.0,0.0
103,600,704.0,0.0
103,700,824.0,0.0
103,800,944.0,0.0
103,900,1064.0,0.0
103,1000,1192.0,0.0
105,300,423.0,0.0
105,400,552.0,0.0
105,500,664.0,0.0
105,600,776.0,0.0
105,700,888.0,0.0
105,800,1008.0,0.0
105,900,1128.0,0.0
105,1000,1256.0,0.0
106,300,443.0,0.0
106,400,560.0,0.0
106,500,664.0,0.0
106,600,768.0,0.0
106,700,888.0,0.0
106,800,1008.0,0.0
106,900,1120.0,0.0
106,1000,1248.0,0.0
107,300,414.0,0.0
107,400,520.0,0.0
107,500,640.0,0.0
107,600,760.0,0.0
107,700,872.0,0.0
107,800,992.0,0.0
107,900,1112.0,0.0
107,1000,1240.0,0.0
108,300,433.0,0.0
108,400,544.0,0.0
108,500,648.0,0.0
108,600,760.0,0.0
108,700,872.0,0.0
108,800,992.0,0.0
108,900,1120.0,0.0
108,1000,1232.0,0.0
109,300,430.0,0.0
109,400,536.0,0.0
109,500,648.0,0.0
109,600,752.0,0.0
109,700,864.0,0.0
109,800,984.0,0.0
109,900,1112.0,0.0
109,1000,1224.0,0.0
110,300,411.0,0.0
110,400,511.0,0.0
110,500,632.0,0.0
110,600,736.0,0.0
110,700,848.0,0.0
110,800,968.0,0.0
110,900,1080.0,0.0
110,1000,1200.0,0.0
111,300,424.0,0.0
111,400,544.0,0.0
111,500,648.0,0.0
111,600,752.0,0.0
111,700,864.0,0.0
111,800,976.0,0.0
111,900,1088.0,0.0
111,1000,1216.0,0.0
112,300,426.0,0.0
112,400,536.0,0.0
112,500,640.0,0.0
112,600,744.0,0.0
112,700,856.0,0.0
112,800,976.0,0.0
112,900,1088.0,0.0
112,1000,1208.0,0.0
144,300,345.0,0.0
144,400,471.0,0.0
144,500,600.0,0.0
144,600,688.0,0.0
144,700,800.0,0.0
144,800,896.0,0.0
144,900,1008.0,0.0
144,1000,1112.0,0.0
145,400,316.0,0.0
145,500,312.0,0.0
145,600,511.0,0.0
145,800,792.0,0.0
145,1000,315.0,0.0
146,300,281.0,0.0
146,400,429.0,0.0
146,500,568.0,0.0
146,600,656.0,0.0
146,700,784.0,0.0
146,800,880.0,0.0
146,900,984.0,0.0
146,1000,1112.0,0.0
147,300,358.0,0.0
147,400,483.0,0.0
147,500,592.0,0.0
147,600,696.0,0.0
147,700,808.0,0.0
147,800,912.0,0.0
147,900,1024.0,0.0
147,1000,1144.0,0.0
148,300,443.0,0.0
148,400,536.0,0.0
148,500,640.0,0.0
148,600,736.0,0.0
148,700,840.0,0.0
148,800,936.0,0.0
148,900,1048.0,0.0
148,1000,1168.0,0.0
