Channel,Amplitude,mean,std
0,200,-100.0,
0,500,-100.0,
1,200,409.0,
1,500,411.0,
2,200,-100.0,
2,500,-100.0,
3,200,-100.0,
3,500,-100.0,
4,200,-100.0,
4,500,-100.0,
5,200,-100.0,
5,500,-100.0,
6,200,-100.0,
6,500,-100.0,
7,200,-100.0,
7,500,-100.0,
8,200,-100.0,
8,500,-100.0,
9,200,-100.0,
9,500,-100.0,
10,200,-100.0,
10,500,-100.0,
11,200,-100.0,
11,500,-100.0,
12,200,-100.0,
12,500,-100.0,
13,200,-100.0,
13,500,-100.0,
14,200,-100.0,
14,500,-100.0,
15,200,-100.0,
15,500,-100.0,
16,200,-100.0,
16,500,-100.0,
17,200,-100.0,
17,500,-100.0,
18,200,-100.0,
18,500,-100.0,
19,200,-100.0,
19,500,-100.0,
20,200,-100.0,
20,500,-100.0,
21,200,-100.0,
21,500,-100.0,
22,200,-100.0,
22,500,-100.0,
23,200,-100.0,
23,500,-100.0,
24,200,-100.0,
24,500,-100.0,
25,200,-100.0,
25,500,-100.0,
26,200,-100.0,
26,500,-100.0,
27,200,-100.0,
27,500,-100.0,
28,200,-100.0,
28,500,-100.0,
29,200,-100.0,
29,500,-100.0,
30,200,-100.0,
30,500,-100.0,
31,200,-100.0,
31,500,-100.0,
32,200,-100.0,
32,500,-100.0,
33,200,-100.0,
33,500,-100.0,
34,200,-100.0,
34,500,-100.0,
35,200,-100.0,
35,500,-100.0,
36,200,-100.0,
36,500,-100.0,
37,200,-100.0,
37,500,-100.0,
38,200,-100.0,
38,500,-100.0,
39,200,826.0,
39,500,923.0,
40,200,-100.0,
40,500,-100.0,
41,200,-100.0,
41,500,-100.0,
42,200,-100.0,
42,500,-100.0,
43,200,-100.0,
43,500,-100.0,
44,200,-100.0,
44,500,-100.0,
45,200,-100.0,
45,500,-100.0,
46,200,-100.0,
46,500,-100.0,
47,200,-100.0,
47,500,-100.0,
48,200,-100.0,
48,500,-100.0,
49,200,-100.0,
49,500,-100.0,
50,200,-100.0,
50,500,-100.0,
51,200,-100.0,
51,500,-100.0,
52,200,-100.0,
52,500,-100.0,
53,200,-100.0,
53,500,-100.0,
54,200,-100.0,
54,500,-100.0,
55,200,-100.0,
55,500,-100.0,
56,200,-100.0,
56,500,-100.0,
57,200,-100.0,
57,500,-100.0,
58,200,-100.0,
58,500,-100.0,
59,200,-100.0,
59,500,-100.0,
60,200,-100.0,
60,500,-100.0,
61,200,-100.0,
61,500,-100.0,
62,200,-100.0,
62,500,-100.0,
63,200,-100.0,
63,500,-100.0,
64,200,-100.0,
64,500,-100.0,
65,200,-100.0,
65,500,-100.0,
66,200,-100.0,
66,500,-100.0,
67,200,-100.0,
67,500,-100.0,
68,200,-100.0,
68,500,-100.0,
69,200,-100.0,
69,500,-100.0,
70,200,-100.0,
70,500,-100.0,
71,200,-100.0,
71,500,-100.0,
72,200,-100.0,
72,500,-100.0,
73,200,-100.0,
73,500,-100.0,
74,200,-100.0,
74,500,-100.0,
75,200,-100.0,
75,500,-100.0,
76,200,-100.0,
76,500,-100.0,
77,200,290.0,
77,500,876.0,
78,200,-100.0,
78,500,-100.0,
79,200,-100.0,
79,500,-100.0,
80,200,-100.0,
80,500,-100.0,
81,200,-100.0,
81,500,-100.0,
82,200,-100.0,
82,500,-100.0,
83,200,-100.0,
83,500,-100.0,
