Channel,Amplitude,mean,std
1,500,912.0,0.0
1,800,1488.0,0.0
1,1100,2128.0,0.0
1,1400,2728.0,0.0
1,1700,3224.0,0.0
1,2000,3608.0,0.0
1,2300,3888.0,0.0
1,2600,4088.0,0.0
1,2900,4088.0,0.0
1,3200,4088.0,0.0
1,3500,4088.0,0.0
2,500,912.0,0.0
2,800,1488.0,0.0
2,1100,2120.0,0.0
2,1400,2728.0,0.0
2,1700,3216.0,0.0
2,2000,3592.0,0.0
2,2300,3872.0,0.0
2,2600,4088.0,0.0
2,2900,4088.0,0.0
2,3200,4088.0,0.0
2,3500,4088.0,0.0
3,500,912.0,0.0
3,800,1520.0,0.0
3,1100,2160.0,0.0
3,1400,2760.0,0.0
3,1700,3272.0,0.0
3,2000,3656.0,0.0
3,2300,3952.0,0.0
3,2600,4088.0,0.0
3,2900,4088.0,0.0
3,3200,4088.0,0.0
3,3500,4088.0,0.0
4,500,936.0,0.0
4,800,1552.0,0.0
4,1100,2208.0,0.0
4,1400,2800.0,0.0
4,1700,3312.0,0.0
4,2000,3696.0,0.0
4,2300,3992.0,0.0
4,2600,4088.0,0.0
4,2900,4088.0,0.0
4,3200,4088.0,0.0
4,3500,4088.0,0.0
5,500,928.0,0.0
5,800,1512.0,0.0
5,1100,2184.0,0.0
5,1400,2784.0,0.0
5,1700,3304.0,0.0
5,2000,3696.0,0.0
5,2300,3992.0,0.0
5,2600,4088.0,0.0
5,2900,4088.0,0.0
5,3200,4088.0,0.0
5,3500,4088.0,0.0
6,500,904.0,0.0
6,800,1496.0,0.0
6,1100,2144.0,0.0
6,1400,2744.0,0.0
6,1700,3256.0,0.0
6,2000,3640.0,0.0
6,2300,3928.0,0.0
6,2600,4088.0,0.0
6,2900,4088.0,0.0
6,3200,4088.0,0.0
6,3500,4088.0,0.0
7,500,880.0,0.0
7,800,1480.0,0.0
7,1100,2128.0,0.0
7,1400,2728.0,0.0
7,1700,3240.0,0.0
7,2000,3632.0,0.0
7,2300,3928.0,0.0
7,2600,4088.0,0.0
7,2900,4088.0,0.0
7,3200,4088.0,0.0
7,3500,4088.0,0.0
8,500,896.0,0.0
8,800,1504.0,0.0
8,1100,2152.0,0.0
8,1400,2776.0,0.0
8,1700,3296.0,0.0
8,2000,3672.0,0.0
8,2300,3976.0,0.0
8,2600,4088.0,0.0
8,2900,4088.0,0.0
8,3200,4088.0,0.0
8,3500,4088.0,0.0
10,500,936.0,0.0
10,800,1560.0,0.0
10,1100,2224.0,0.0
10,1400,2840.0,0.0
10,1700,3360.0,0.0
10,2000,3776.0,0.0
10,2300,4072.0,0.0
10,2600,4088.0,0.0
10,2900,4088.0,0.0
10,3200,4088.0,0.0
10,3500,4088.0,0.0
11,500,936.0,0.0
11,800,1552.0,0.0
11,1100,2216.0,0.0
11,1400,2824.0,0.0
11,1700,3352.0,0.0
11,2000,3760.0,0.0
11,2300,4064.0,0.0
11,2600,4088.0,0.0
11,2900,4088.0,0.0
11,3200,4088.0,0.0
11,3500,4088.0,0.0
12,500,952.0,0.0
12,800,1568.0,0.0
12,1100,2224.0,0.0
12,1400,2832.0,0.0
12,1700,3360.0,0.0
12,2000,3768.0,0.0
12,2300,4072.0,0.0
12,2600,4088.0,0.0
12,2900,4088.0,0.0
