Channel,Amplitude,mean,std
1,250,406.0,0.0
1,300,528.0,0.0
1,350,632.0,0.0
1,400,720.0,0.0
1,450,816.0,0.0
1,500,896.0,0.0
1,550,992.0,0.0
1,600,1088.0,0.0
1,650,1176.0,0.0
1,700,1280.0,0.0
1,750,1384.0,0.0
1,800,1496.0,0.0
1,850,1608.0,0.0
1,900,1704.0,0.0
1,950,1816.0,0.0
1,1000,1920.0,0.0
1,1050,2024.0,0.0
1,1100,2136.0,0.0
1,1150,2256.0,0.0
1,1200,2344.0,0.0
1,1250,2448.0,0.0
1,1300,2536.0,0.0
1,1350,2640.0,0.0
1,1400,2728.0,0.0
1,1450,2824.0,0.0
1,1500,2904.0,0.0
1,1550,2992.0,0.0
1,1600,3080.0,0.0
1,1650,3152.0,0.0
1,1700,3232.0,0.0
1,1750,3304.0,0.0
1,1800,3368.0,0.0
1,1850,3440.0,0.0
1,1900,3496.0,0.0
1,1950,3552.0,0.0
1,2000,3608.0,0.0
1,2050,3672.0,0.0
1,2100,3712.0,0.0
1,2150,3760.0,0.0
1,2200,3808.0,0.0
1,2250,3864.0,0.0
1,2300,3896.0,0.0
1,2350,3936.0,0.0
1,2400,3976.0,0.0
1,2450,4016.0,0.0
1,2500,4056.0,0.0
1,2550,4088.0,0.0
1,2600,4088.0,0.0
1,2650,4088.0,0.0
1,2700,4088.0,0.0
1,2750,4088.0,0.0
1,2800,4088.0,0.0
1,2850,4088.0,0.0
1,2900,4088.0,0.0
1,2950,4088.0,0.0
1,3000,4088.0,0.0
1,3050,4088.0,0.0
1,3100,4088.0,0.0
1,3150,4088.0,0.0
1,3200,4088.0,0.0
1,3250,4088.0,0.0
1,3300,4088.0,0.0
1,3350,4088.0,0.0
1,3400,4088.0,0.0
1,3450,4088.0,0.0
1,3500,4088.0,0.0
1,3550,4088.0,0.0
1,3600,4088.0,0.0
1,3650,4088.0,0.0
1,3700,4088.0,0.0
1,3750,4088.0,0.0
1,3800,4088.0,0.0
1,3850,4088.0,0.0
1,3900,4088.0,0.0
1,3950,4088.0,0.0
2,250,433.0,0.0
2,300,560.0,0.0
2,350,664.0,0.0
2,400,736.0,0.0
2,450,840.0,0.0
2,500,912.0,0.0
2,550,1000.0,0.0
2,600,1104.0,0.0
2,650,1184.0,0.0
2,700,1288.0,0.0
2,750,1384.0,0.0
2,800,1496.0,0.0
2,850,1600.0,0.0
2,900,1704.0,0.0
2,950,1808.0,0.0
2,1000,1920.0,0.0
2,1050,2024.0,0.0
2,1100,2144.0,0.0
2,1150,2240.0,0.0
2,1200,2336.0,0.0
2,1250,2432.0,0.0
2,1300,2528.0,0.0
2,1350,2624.0,0.0
2,1400,2720.0,0.0
2,1450,2808.0,0.0
2,1500,2912.0,0.0
2,1550,2984.0,0.0
2,1600,3072.0,0.0
2,1650,3144.0,0.0
2,1700,3216.0,0.0
2,1750,3288.0,0.0
2,1800,3360.0,0.0
2,1850,3424.0,0.0
2,1900,3496.0,0.0
2,1950,3560.0,0.0
2,2000,3600.0,0.0
2,2050,3648.0,0.0
2,2100,3696.0,0.0
2,2150,3752.0,0.0
2,2200,3816.0,0.0
2,2250,3848.0,0.0
2,2300,3888.0,0.0
2,2350,3928.0,0.0
2,2400,3968.0,0.0
2,2450,4000.0,0.0
2,2500,4040.0,0.0
2,2550,4080.0,0.0
2,2600,4088.0,0.0
2,2650,4088.0,0.0
2,2700,4088.0,0.0
2,2750,4088.0,0.0
2,2800,4088.0,0.0
2,2850,4088.0,0.0
2,2900,4088.0,0.0
2,2950,4088.0,0.0
2,3000,4088.0,0.0
2,3050,4088.0,0.0
2,3100,4088.0,0.0
2,3150,4088.0,0.0
2,3200,4088.0,0.0
2,3250,4088.0,0.0
2,3300,4088.0,0.0
2,3350,4088.0,0.0
2,3400,4088.0,0.0
2,3450,4088.0,0.0
2,3500,4088.0,0.0
2,3550,4088.0,0.0
2,3600,4088.0,0.0
2,3650,4088.0,0.0
2,3700,4088.0,0.0
2,3750,4088.0,0.0
2,3800,4088.0,0.0
2,3850,4088.0,0.0
2,3900,4088.0,0.0
2,3950,4088.0,0.0
3,250,419.0,0.0
3,300,536.0,0.0
3,350,640.0,0.0
3,400,728.0,0.0
3,450,824.0,0.0
3,500,912.0,0.0
3,550,1008.0,0.0
3,600,1104.0,0.0
3,650,1200.0,0.0
3,700,1304.0,0.0
3,750,1408.0,0.0
3,800,1520.0,0.0
3,850,1624.0,0.0
3,900,1736.0,0.0
3,950,1840.0,0.0
3,1000,1952.0,0.0
3,1050,2064.0,0.0
3,1100,2168.0,0.0
3,1150,2272.0,0.0
3,1200,2376.0,0.0
3,1250,2472.0,0.0
3,1300,2576.0,0.0
3,1350,2672.0,0.0
3,1400,2768.0,0.0
3,1450,2864.0,0.0
3,1500,2952.0,0.0
3,1550,3032.0,0.0
3,1600,3120.0,0.0
3,1650,3200.0,0.0
3,1700,3272.0,0.0
3,1750,3352.0,0.0
3,1800,3416.0,0.0
3,1850,3480.0,0.0
3,1900,3544.0,0.0
3,1950,3608.0,0.0
3,2000,3664.0,0.0
3,2050,3720.0,0.0
3,2100,3768.0,0.0
3,2150,3816.0,0.0
3,2200,3864.0,0.0
3,2250,3912.0,0.0
3,2300,3952.0,0.0
3,2350,3992.0,0.0
3,2400,4032.0,0.0
3,2450,4072.0,0.0
3,2500,4088.0,0.0
3,2550,4088.0,0.0
3,2600,4088.0,0.0
3,2650,4088.0,0.0
3,2700,4088.0,0.0
3,2750,4088.0,0.0
3,2800,4088.0,0.0
3,2850,4088.0,0.0
3,2900,4088.0,0.0
3,2950,4088.0,0.0
3,3000,4088.0,0.0
3,3050,4088.0,0.0
3,3100,4088.0,0.0
3,3150,4088.0,0.0
3,3200,4088.0,0.0
3,3250,4088.0,0.0
3,3300,4088.0,0.0
3,3350,4088.0,0.0
3,3400,4088.0,0.0
3,3450,4088.0,0.0
3,3500,4088.0,0.0
3,3550,4088.0,0.0
3,3600,4088.0,0.0
3,3650,4088.0,0.0
3,3700,4088.0,0.0
3,3750,4088.0,0.0
3,3800,4088.0,0.0
3,3850,4088.0,0.0
3,3900,4088.0,0.0
3,3950,4088.0,0.0
4,250,454.0,0.0
4,300,568.0,0.0
4,350,680.0,0.0
4,400,752.0,0.0
4,450,848.0,0.0
4,500,944.0,0.0
4,550,1032.0,0.0
4,600,1128.0,0.0
4,650,1224.0,0.0
4,700,1336.0,0.0
4,750,1440.0,0.0
4,800,1552.0,0.0
4,850,1656.0,0.0
4,900,1768.0,0.0
4,950,1880.0,0.0
4,1000,1984.0,0.0
4,1050,2096.0,0.0
4,1100,2200.0,0.0
4,1150,2304.0,0.0
4,1200,2408.0,0.0
4,1250,2504.0,0.0
4,1300,2608.0,0.0
4,1350,2704.0,0.0
4,1400,2808.0,0.0
4,1450,2896.0,0.0
4,1500,2984.0,0.0
4,1550,3072.0,0.0
4,1600,3160.0,0.0
4,1650,3232.0,0.0
4,1700,3312.0,0.0
4,1750,3384.0,0.0
4,1800,3456.0,0.0
4,1850,3520.0,0.0
4,1900,3584.0,0.0
4,1950,3648.0,0.0
4,2000,3696.0,0.0
4,2050,3752.0,0.0
4,2100,3808.0,0.0
4,2150,3856.0,0.0
4,2200,3904.0,0.0
4,2250,3952.0,0.0
4,2300,3992.0,0.0
4,2350,4032.0,0.0
4,2400,4072.0,0.0
4,2450,4088.0,0.0
4,2500,4088.0,0.0
4,2550,4088.0,0.0
4,2600,4088.0,0.0
4,2650,4088.0,0.0
4,2700,4088.0,0.0
