Channel,Amplitude,mean,std
0,100,-100.0,
0,200,-100.0,
0,300,-100.0,
0,400,-100.0,
0,500,-100.0,
0,600,-100.0,
1,100,114.0,
1,200,263.0,
1,300,393.0,
1,400,402.0,
1,500,411.0,
1,600,411.0,
2,100,112.0,
2,200,256.0,
2,300,427.0,
2,400,609.0,
2,500,802.0,
2,600,923.0,
3,100,117.0,
3,200,269.0,
3,300,439.0,
3,400,625.0,
3,500,821.0,
3,600,923.0,
4,100,119.0,
4,200,271.0,
4,300,446.0,
4,400,637.0,
4,500,837.0,
4,600,923.0,
5,100,-100.0,
5,200,-100.0,
5,300,-100.0,
5,400,-100.0,
5,500,-100.0,
5,600,-100.0,
6,100,-100.0,
6,200,-100.0,
6,300,-100.0,
6,400,-100.0,
6,500,-100.0,
6,600,-100.0,
7,100,-100.0,
7,200,-100.0,
7,300,-100.0,
7,400,-100.0,
7,500,-100.0,
7,600,-100.0,
8,100,-100.0,
8,200,-100.0,
8,300,-100.0,
8,400,-100.0,
8,500,-100.0,
8,600,-100.0,
9,100,-100.0,
9,200,-100.0,
9,300,-100.0,
9,400,-100.0,
9,500,-100.0,
9,600,-100.0,
10,100,-100.0,
10,200,-100.0,
10,300,-100.0,
10,400,-100.0,
10,500,-100.0,
10,600,-100.0,
11,100,-100.0,
11,200,-100.0,
11,300,-100.0,
11,400,-100.0,
11,500,-100.0,
11,600,-100.0,
12,100,-100.0,
12,200,-100.0,
12,300,-100.0,
12,400,-100.0,
12,500,-100.0,
12,600,-100.0,
13,100,-100.0,
13,200,-100.0,
13,300,-100.0,
13,400,-100.0,
13,500,-100.0,
13,600,-100.0,
14,100,-100.0,
14,200,-100.0,
14,300,-100.0,
14,400,-100.0,
14,500,-100.0,
14,600,-100.0,
15,100,-100.0,
15,200,-100.0,
15,300,-100.0,
15,400,-100.0,
15,500,-100.0,
15,600,-100.0,
16,100,-100.0,
16,200,-100.0,
16,300,-100.0,
16,400,-100.0,
16,500,-100.0,
16,600,-100.0,
17,100,-100.0,
17,200,-100.0,
17,300,-100.0,
17,400,-100.0,
17,500,-100.0,
17,600,-100.0,
18,100,-100.0,
18,200,-100.0,
18,300,-100.0,
18,400,-100.0,
18,500,-100.0,
18,600,-100.0,
19,100,-100.0,
19,200,-100.0,
19,300,-100.0,
19,400,-100.0,
19,500,-100.0,
19,600,-100.0,
20,100,-100.0,
20,200,-100.0,
20,300,-100.0,
20,400,-100.0,
20,500,-100.0,
20,600,-100.0,
21,100,-100.0,
21,200,-100.0,
21,300,-100.0,
21,400,-100.0,
21,500,-100.0,
21,600,-100.0,
22,100,-100.0,
22,200,-100.0,
22,300,-100.0,
22,400,-100.0,
22,500,-100.0,
22,600,-100.0,
23,100,-100.0,
23,200,-100.0,
23,300,-100.0,
23,400,-100.0,
23,500,-100.0,
23,600,-100.0,
24,100,-100.0,
24,200,-100.0,
24,300,-100.0,
24,400,-100.0,
24,500,-100.0,
24,600,-100.0,
25,100,-100.0,
25,200,-100.0,
25,300,-100.0,
25,400,-100.0,
25,500,-100.0,
25,600,-100.0,
26,100,-100.0,
26,200,-100.0,
26,300,-100.0,
26,400,-100.0,
26,500,-100.0,
26,600,-100.0,
27,100,-100.0,
27,200,-100.0,
27,300,-100.0,
27,400,-100.0,
27,500,-100.0,
27,600,-100.0,
28,100,-100.0,
28,200,-100.0,
28,300,-100.0,
28,400,-100.0,
28,500,-100.0,
28,600,-100.0,
29,100,-100.0,
29,200,-100.0,
29,300,-100.0,
29,400,-100.0,
29,500,-100.0,
29,600,-100.0,
30,100,-100.0,
30,200,-100.0,
30,300,-100.0,
30,400,-100.0,
30,500,-100.0,
30,600,-100.0,
31,100,-100.0,
31,200,-100.0,
31,300,-100.0,
31,400,-100.0,
31,500,-100.0,
31,600,-100.0,
32,100,-100.0,
32,200,-100.0,
32,300,-100.0,
32,400,-100.0,
32,500,-100.0,
32,600,-100.0,
33,100,-100.0,
33,200,-100.0,
33,300,-100.0,
33,400,-100.0,
33,500,-100.0,
33,600,-100.0,
34,100,-100.0,
34,200,-100.0,
34,300,-100.0,
34,400,-100.0,
34,500,-100.0,
34,600,-100.0,
35,100,-100.0,
35,200,-100.0,
35,300,-100.0,
35,400,-100.0,
35,500,-100.0,
35,600,-100.0,
36,100,-100.0,
36,200,-100.0,
36,300,-100.0,
36,400,-100.0,
36,500,-100.0,
36,600,-100.0,
37,100,-100.0,
37,200,-100.0,
37,300,-100.0,
37,400,-100.0,
37,500,-100.0,
37,600,-100.0,
38,100,-100.0,
38,200,-100.0,
38,300,-100.0,
38,400,-100.0,
38,500,-100.0,
38,600,-100.0,
39,100,112.0,
39,200,260.0,
39,300,428.0,
39,400,613.0,
39,500,805.0,
39,600,923.0,
40,100,110.0,
40,200,254.0,
40,300,417.0,
40,400,597.0,
40,500,786.0,
40,600,923.0,
41,100,118.0,
41,200,267.0,
41,300,442.0,
41,400,626.0,
41,500,828.0,
41,600,923.0,
42,100,107.0,
42,200,245.0,
42,300,403.0,
42,400,583.0,
42,500,765.0,
42,600,923.0,
43,100,-100.0,
43,200,-100.0,
43,300,-100.0,
43,400,-100.0,
43,500,-100.0,
43,600,-100.0,
44,100,-100.0,
44,200,-100.0,
44,300,-100.0,
44,400,-100.0,
44,500,-100.0,
44,600,-100.0,
45,100,-100.0,
45,200,-100.0,
45,300,-100.0,
45,400,-100.0,
45,500,-100.0,
45,600,-100.0,
46,100,-100.0,
46,200,-100.0,
46,300,-100.0,
46,400,-100.0,
46,500,-100.0,
46,600,-100.0,
47,100,-100.0,
47,200,-100.0,
47,300,-100.0,
47,400,-100.0,
47,500,-100.0,
47,600,-100.0,
48,100,-100.0,
48,200,-100.0,
48,300,-100.0,
48,400,-100.0,
48,500,-100.0,
48,600,-100.0,
49,100,-100.0,
49,200,-100.0,
49,300,-100.0,
49,400,-100.0,
49,500,-100.0,
49,600,-100.0,
50,100,-100.0,
50,200,-100.0,
50,300,-100.0,
50,400,-100.0,
50,500,-100.0,
50,600,-100.0,
51,100,-100.0,
51,200,-100.0,
51,300,-100.0,
51,400,-100.0,
51,500,-100.0,
51,600,-100.0,
52,100,-100.0,
52,200,-100.0,
52,300,-100.0,
52,400,-100.0,
52,500,-100.0,
52,600,-100.0,
53,100,-100.0,
53,200,-100.0,
53,300,-100.0,
53,400,-100.0,
53,500,-100.0,
53,600,-100.0,
54,100,-100.0,
54,200,-100.0,
54,300,-100.0,
54,400,-100.0,
54,500,-100.0,
54,600,-100.0,
55,100,-100.0,
55,200,-100.0,
55,300,-100.0,
55,400,-100.0,
55,500,-100.0,
55,600,-100.0,
56,100,-100.0,
56,200,-100.0,
56,300,-100.0,
56,400,-100.0,
56,500,-100.0,
56,600,-100.0,
57,100,-100.0,
57,200,-100.0,
57,300,-100.0,
57,400,-100.0,
57,500,-100.0,
57,600,-100.0,
58,100,-100.0,
58,200,-100.0,
58,300,-100.0,
58,400,-100.0,
58,500,-100.0,
58,600,-100.0,
59,100,-100.0,
59,200,-100.0,
59,300,-100.0,
59,400,-100.0,
59,500,-100.0,
59,600,-100.0,
60,100,-100.0,
60,200,-100.0,
60,300,-100.0,
60,400,-100.0,
60,500,-100.0,
60,600,-100.0,
61,100,-100.0,
61,200,-100.0,
61,300,-100.0,
61,400,-100.0,
61,500,-100.0,
61,600,-100.0,
62,100,-100.0,
62,200,-100.0,
62,300,-100.0,
62,400,-100.0,
62,500,-100.0,
62,600,-100.0,
63,100,-100.0,
63,200,-100.0,
63,300,-100.0,
63,400,-100.0,
63,500,-100.0,
63,600,-100.0,
64,100,-100.0,
64,200,-100.0,
64,300,-100.0,
64,400,-100.0,
64,500,-100.0,
