Channel,Amplitude,mean,std
1,300,350.0,0.0
1,400,552.0,0.0
1,500,680.0,0.0
1,600,760.0,0.0
1,700,832.0,0.0
1,800,888.0,0.0
1,900,952.0,0.0
1,1000,976.0,0.0
1,1100,1016.0,0.0
1,1200,1056.0,0.0
1,1300,1080.0,0.0
1,1400,1112.0,0.0
1,1500,1152.0,0.0
1,1600,1024.0,0.0
1,1700,1088.0,0.0
1,1800,1152.0,0.0
1,1900,1216.0,0.0
1,2000,1272.0,0.0
1,2100,1320.0,0.0
1,2200,1360.0,0.0
1,2300,1408.0,0.0
1,2400,1440.0,0.0
1,2500,1472.0,0.0
1,2600,1496.0,0.0
1,2700,1520.0,0.0
1,2800,1544.0,0.0
1,2900,1568.0,0.0
1,3000,1600.0,0.0
1,3100,1608.0,0.0
1,3200,1624.0,0.0
1,3300,1640.0,0.0
1,3400,1664.0,0.0
1,3500,1672.0,0.0
1,3600,1688.0,0.0
1,3700,1704.0,0.0
1,3800,1728.0,0.0
1,3900,1728.0,0.0
1,4000,1736.0,0.0
2,300,333.0,0.0
2,400,536.0,0.0
2,500,656.0,0.0
2,600,752.0,0.0
2,700,824.0,0.0
2,800,880.0,0.0
2,900,928.0,0.0
2,1000,976.0,0.0
2,1100,1024.0,0.0
2,1200,1040.0,0.0
2,1300,1088.0,0.0
2,1400,1096.0,0.0
2,1500,1112.0,0.0
2,1600,1008.0,0.0
2,1700,1072.0,0.0
2,1800,1136.0,0.0
2,1900,1200.0,0.0
2,2000,1248.0,0.0
2,2100,1304.0,0.0
2,2200,1344.0,0.0
2,2300,1384.0,0.0
2,2400,1416.0,0.0
2,2500,1448.0,0.0
2,2600,1480.0,0.0
2,2700,1504.0,0.0
2,2800,1528.0,0.0
2,2900,1552.0,0.0
2,3000,1576.0,0.0
2,3100,1592.0,0.0
2,3200,1608.0,0.0
2,3300,1624.0,0.0
2,3400,1640.0,0.0
2,3500,1656.0,0.0
2,3600,1672.0,0.0
2,3700,1688.0,0.0
2,3800,1704.0,0.0
2,3900,1728.0,0.0
2,4000,1736.0,0.0
