Channel,Amplitude,mean,std
1,300,348.0,0.0
1,400,552.0,0.0
1,500,680.0,0.0
1,600,760.0,0.0
1,700,832.0,0.0
1,800,888.0,0.0
1,900,952.0,0.0
1,1000,984.0,0.0
1,1100,1016.0,0.0
1,1200,1040.0,0.0
1,1300,1080.0,0.0
1,1400,1112.0,0.0
1,1500,1152.0,0.0
1,1600,1024.0,0.0
1,1700,1088.0,0.0
1,1800,1152.0,0.0
1,1900,1208.0,0.0
1,2000,1272.0,0.0
1,2100,1320.0,0.0
1,2200,1360.0,0.0
1,2300,1408.0,0.0
1,2400,1432.0,0.0
1,2500,1472.0,0.0
1,2600,1496.0,0.0
1,2700,1520.0,0.0
1,2800,1544.0,0.0
1,2900,1560.0,0.0
1,3000,1600.0,0.0
1,3100,1608.0,0.0
1,3200,1624.0,0.0
1,3300,1640.0,0.0
1,3400,1664.0,0.0
1,3500,1672.0,0.0
1,3600,1688.0,0.0
1,3700,1696.0,0.0
1,3800,1728.0,0.0
1,3900,1728.0,0.0
1,4000,1736.0,0.0
2,300,331.0,0.0
2,400,536.0,0.0
2,500,656.0,0.0
2,600,752.0,0.0
2,700,824.0,0.0
2,800,872.0,0.0
2,900,928.0,0.0
2,1000,976.0,0.0
2,1100,1024.0,0.0
2,1200,1040.0,0.0
2,1300,1072.0,0.0
2,1400,1096.0,0.0
2,1500,1112.0,0.0
2,1600,1000.0,0.0
2,1700,1072.0,0.0
2,1800,1136.0,0.0
2,1900,1192.0,0.0
2,2000,1248.0,0.0
2,2100,1296.0,0.0
2,2200,1344.0,0.0
2,2300,1384.0,0.0
2,2400,1416.0,0.0
2,2500,1448.0,0.0
2,2600,1480.0,0.0
2,2700,1504.0,0.0
2,2800,1528.0,0.0
2,2900,1552.0,0.0
2,3000,1568.0,0.0
2,3100,1608.0,0.0
2,3200,1608.0,0.0
2,3300,1624.0,0.0
2,3400,1640.0,0.0
2,3500,1664.0,0.0
2,3600,1672.0,0.0
2,3700,1688.0,0.0
2,3800,1704.0,0.0
2,3900,1728.0,0.0
2,4000,1736.0,0.0
3,300,432.0,0.0
3,400,600.0,0.0
3,500,720.0,0.0
3,600,816.0,0.0
3,700,880.0,0.0
3,800,944.0,0.0
3,900,992.0,0.0
3,1000,1040.0,0.0
3,1100,1072.0,0.0
3,1200,1104.0,0.0
3,1300,1136.0,0.0
3,1400,1184.0,0.0
3,1500,1208.0,0.0
3,1600,1232.0,0.0
3,1700,1112.0,0.0
3,1800,1176.0,0.0
3,1900,1232.0,0.0
3,2000,1288.0,0.0
3,2100,1344.0,0.0
3,2200,1384.0,0.0
3,2300,1424.0,0.0
3,2400,1456.0,0.0
3,2500,1488.0,0.0
3,2600,1520.0,0.0
3,2700,1544.0,0.0
3,2800,1568.0,0.0
3,2900,1592.0,0.0
3,3000,1608.0,0.0
3,3100,1632.0,0.0
3,3200,1648.0,0.0
3,3300,1664.0,0.0
3,3400,1680.0,0.0
3,3500,1696.0,0.0
3,3600,1712.0,0.0
3,3700,1728.0,0.0
3,3800,1736.0,0.0
3,3900,1752.0,0.0
3,4000,1768.0,0.0
4,300,358.0,0.0
4,400,544.0,0.0
4,500,672.0,0.0
4,600,760.0,0.0
4,700,824.0,0.0
4,800,880.0,0.0
4,900,936.0,0.0
4,1000,976.0,0.0
4,1100,1008.0,0.0
4,1200,1040.0,0.0
4,1300,1072.0,0.0
4,1400,1104.0,0.0
4,1500,1120.0,0.0
4,1600,1040.0,0.0
4,1700,1112.0,0.0
4,1800,1176.0,0.0
4,1900,1240.0,0.0
4,2000,1296.0,0.0
4,2100,1344.0,0.0
4,2200,1392.0,0.0
4,2300,1424.0,0.0
4,2400,1464.0,0.0
4,2500,1496.0,0.0
4,2600,1520.0,0.0
4,2700,1544.0,0.0
4,2800,1568.0,0.0
4,2900,1592.0,0.0
4,3000,1616.0,0.0
4,3100,1632.0,0.0
4,3200,1648.0,0.0
4,3300,1672.0,0.0
4,3400,1688.0,0.0
4,3500,1704.0,0.0
4,3600,1720.0,0.0
4,3700,1728.0,0.0
4,3800,1744.0,0.0
4,3900,1752.0,0.0
4,4000,1768.0,0.0
79,700,411.0,0.0
79,800,520.0,0.0
79,900,600.0,0.0
79,1000,672.0,0.0
79,1100,744.0,0.0
79,1200,800.0,0.0
79,1300,872.0,0.0
79,1400,920.0,0.0
79,1500,1000.0,0.0
79,1600,1064.0,0.0
79,1700,1136.0,0.0
79,1800,1200.0,0.0
79,1900,1272.0,0.0
79,2000,1328.0,0.0
79,2100,1384.0,0.0
79,2200,1432.0,0.0
79,2300,1480.0,0.0
79,2400,1528.0,0.0
79,2500,1568.0,0.0
79,2600,1600.0,0.0
79,2700,1632.0,0.0
79,2800,1672.0,0.0
79,2900,1704.0,0.0
79,3000,1736.0,0.0
79,3100,1768.0,0.0
79,3200,1800.0,0.0
79,3300,1824.0,0.0
79,3400,1856.0,0.0
79,3500,1880.0,0.0
79,3600,1920.0,0.0
79,3700,1928.0,0.0
79,3800,1952.0,0.0
79,3900,1992.0,0.0
79,4000,2000.0,0.0
