Channel,R2,Linearity_percent,GoodLinearity
1,0.7827017190074518,30.420711974110027,False
2,0.9977944186440438,2.714440825190011,True
3,0.9989744839300332,1.8498367791077257,True
4,0.9994920730474208,1.3015184381778742,True
5,0.0,0.0,False
6,0.0,0.0,False
7,0.0,0.0,False
8,0.0,0.0,False
10,0.0,0.0,False
11,0.0,0.0,False
12,0.0,0.0,False
13,0.0,0.0,False
14,0.0,0.0,False
15,0.0,0.0,False
16,0.0,0.0,False
17,0.0,0.0,False
20,0.0,0.0,False
21,0.0,0.0,False
22,0.0,0.0,False
23,0.0,0.0,False
24,0.0,0.0,False
25,0.0,0.0,False
26,0.0,0.0,False
27,0.0,0.0,False
29,0.0,0.0,False
30,0.0,0.0,False
31,0.0,0.0,False
32,0.0,0.0,False
33,0.0,0.0,False
34,0.0,0.0,False
35,0.0,0.0,False
36,0.0,0.0,False
39,0.9979102386931719,2.6420557365182753,True
40,0.9963992517194982,3.470715835140998,True
41,0.9988925650071042,1.922379397896266,True
42,0.9948298401687604,4.162142598624681,True
43,0.0,0.0,False
44,0.0,0.0,False
45,0.0,0.0,False
46,0.0,0.0,False
48,0.0,0.0,False
49,0.0,0.0,False
50,0.0,0.0,False
51,0.0,0.0,False
52,0.0,0.0,False
53,0.0,0.0,False
54,0.0,0.0,False
55,0.0,0.0,False
58,0.0,0.0,False
59,0.0,0.0,False
60,0.0,0.0,False
61,0.0,0.0,False
62,0.0,0.0,False
63,0.0,0.0,False
64,0.0,0.0,False
65,0.0,0.0,False
67,0.0,0.0,False
68,0.0,0.0,False
69,0.0,0.0,False
70,0.0,0.0,False
71,0.0,0.0,False
72,0.0,0.0,False
73,0.0,0.0,False
74,0.0,0.0,False
77,0.9999939383561124,0.1421464108031252,True
78,0.9997268103591713,0.9544008483563097,True
79,0.999955027748994,0.3871876099964821,True
80,0.9999761622042808,0.2818886539816792,True
81,0.0,0.0,False
82,0.0,0.0,False
83,0.0,0.0,False
84,0.0,0.0,False
86,0.0,0.0,False
87,0.0,0.0,False
88,0.0,0.0,False
89,0.0,0.0,False
90,0.0,0.0,False
91,0.0,0.0,False
92,0.0,0.0,False
93,0.0,0.0,False
96,0.0,0.0,False
97,0.0,0.0,False
98,0.0,0.0,False
99,0.0,0.0,False
100,0.0,0.0,False
101,0.0,0.0,False
102,0.0,0.0,False
103,0.0,0.0,False
105,0.0,0.0,False
106,0.0,0.0,False
107,0.0,0.0,False
108,0.0,0.0,False
109,0.0,0.0,False
110,0.0,0.0,False
111,0.0,0.0,False
112,0.0,0.0,False
115,0.9999341655226791,0.46846846846846646,True
116,0.9996752850618775,1.0405453893075012,True
117,0.9979011521016836,2.6478055857816445,True
118,0.9996899906522694,1.016702977487289,True
119,0.0,0.0,False
120,0.0,0.0,False
121,0.0,0.0,False
122,0.0,0.0,False
124,0.0,0.0,False
125,0.0,0.0,False
126,0.0,0.0,False
127,0.0,0.0,False
128,0.0,0.0,False
129,0.0,0.0,False
130,0.0,0.0,False
131,0.0,0.0,False
134,0.0,0.0,False
135,0.0,0.0,False
136,0.0,0.0,False
137,0.0,0.0,False
138,0.0,0.0,False
139,0.0,0.0,False
140,0.0,0.0,False
141,0.0,0.0,False
143,0.0,0.0,False
144,0.0,0.0,False
145,0.0,0.0,False
146,0.0,0.0,False
147,0.0,0.0,False
148,0.0,0.0,False
149,0.0,0.0,False
150,0.0,0.0,False
