Channel,Amplitude,mean,std
2,600,880.0,0.0
2,900,1064.0,0.0
2,1200,1184.0,0.0
2,1800,1160.0,0.0
2,2100,1336.0,0.0
2,2400,1456.0,0.0
2,2700,1544.0,0.0
2,3000,1616.0,0.0
2,3300,1760.0,0.0
2,3600,1720.0,0.0
4,300,453.0,0.0
4,600,832.0,0.0
4,900,1016.0,0.0
4,1200,1136.0,0.0
4,1500,1240.0,0.0
4,1800,1136.0,0.0
4,2100,1312.0,0.0
4,2400,1440.0,0.0
4,2700,1536.0,0.0
4,3000,1608.0,0.0
4,3300,1664.0,0.0
4,3600,1712.0,0.0
43,600,624.0,0.0
43,900,760.0,0.0
43,1200,896.0,0.0
43,1500,1056.0,0.0
43,1800,1216.0,0.0
43,2100,1408.0,0.0
43,2400,1544.0,0.0
43,2700,1672.0,0.0
43,3000,1768.0,0.0
43,3300,1856.0,0.0
43,3600,1928.0,0.0
116,900,544.0,0.0
116,1200,744.0,0.0
116,1500,944.0,0.0
116,1800,1136.0,0.0
116,2100,1304.0,0.0
116,2400,1432.0,0.0
116,2700,1544.0,0.0
116,3000,1656.0,0.0
116,3300,1728.0,0.0
116,3600,1808.0,0.0
121,1500,1192.0,0.0
121,1800,1400.0,0.0
121,2100,1576.0,0.0
121,2400,1712.0,0.0
121,2700,1824.0,0.0
121,3000,1920.0,0.0
121,3300,2000.0,0.0
121,3600,2072.0,0.0
