Channel,Amplitude,mean,std
1,3000,1584.0,0.0
1,3600,1712.0,0.0
2,300,498.0,0.0
2,900,1064.0,0.0
2,1200,1184.0,0.0
2,1500,1272.0,0.0
2,1800,1288.0,0.0
2,2100,1336.0,0.0
2,2400,1456.0,0.0
2,2700,1544.0,0.0
2,3000,1912.0,0.0
2,3300,1672.0,0.0
2,3600,1720.0,0.0
4,300,445.0,0.0
4,600,832.0,0.0
4,900,1016.0,0.0
4,1200,1136.0,0.0
4,1500,1232.0,0.0
4,1800,1136.0,0.0
4,2100,1312.0,0.0
4,2400,1440.0,0.0
4,2700,1536.0,0.0
4,3000,1600.0,0.0
4,3300,1664.0,0.0
4,3600,1712.0,0.0
43,600,640.0,0.0
43,900,776.0,0.0
43,1200,896.0,0.0
43,1500,1080.0,0.0
43,1800,1216.0,0.0
43,2100,1400.0,0.0
43,2400,1544.0,0.0
43,2700,1672.0,0.0
43,3000,1768.0,0.0
43,3300,1864.0,0.0
43,3600,1936.0,0.0
116,600,592.0,0.0
116,900,760.0,0.0
116,1200,944.0,0.0
116,1500,1136.0,0.0
116,1800,1320.0,0.0
116,2100,1480.0,0.0
116,2400,1616.0,0.0
116,2700,1728.0,0.0
116,3000,1832.0,0.0
116,3300,1912.0,0.0
116,3600,1984.0,0.0
121,1500,1344.0,0.0
121,1800,1552.0,0.0
121,2100,1720.0,0.0
121,2400,1856.0,0.0
121,2700,1968.0,0.0
121,3000,2064.0,0.0
121,3300,2152.0,0.0
121,3600,2224.0,0.0
