Channel,Amplitude,mean,std
0,0,-100.0,
0,300,-100.0,
0,600,-100.0,
1,0,-15.0,
1,300,824.0,
1,600,923.0,
2,0,-10.0,
2,300,830.0,
2,600,923.0,
3,0,4.0,
3,300,874.0,
3,600,923.0,
4,0,4.0,
4,300,854.0,
4,600,923.0,
5,0,-31.0,
5,300,823.0,
5,600,923.0,
6,0,-4.0,
6,300,838.0,
6,600,923.0,
7,0,4.0,
7,300,876.0,
7,600,923.0,
8,0,-100.0,
8,300,-100.0,
8,600,-100.0,
9,0,-100.0,
9,300,-100.0,
9,600,-100.0,
10,0,-100.0,
10,300,-100.0,
10,600,-100.0,
11,0,-100.0,
11,300,-100.0,
11,600,-100.0,
12,0,-100.0,
12,300,-100.0,
12,600,-100.0,
13,0,-100.0,
13,300,-100.0,
13,600,-100.0,
14,0,-100.0,
14,300,-100.0,
14,600,-100.0,
15,0,-100.0,
15,300,-100.0,
15,600,-100.0,
16,0,-100.0,
16,300,-100.0,
16,600,-100.0,
17,0,-100.0,
17,300,-100.0,
17,600,-100.0,
18,0,-100.0,
18,300,-100.0,
18,600,-100.0,
19,0,-100.0,
19,300,-100.0,
19,600,-100.0,
20,0,-100.0,
20,300,-100.0,
20,600,-100.0,
21,0,-100.0,
21,300,-100.0,
21,600,-100.0,
22,0,-100.0,
22,300,-100.0,
22,600,-100.0,
23,0,-100.0,
23,300,-100.0,
23,600,-100.0,
24,0,-100.0,
24,300,-100.0,
24,600,-100.0,
25,0,-100.0,
25,300,-100.0,
25,600,-100.0,
26,0,-100.0,
26,300,-100.0,
26,600,-100.0,
27,0,-100.0,
27,300,-100.0,
27,600,-100.0,
28,0,-100.0,
28,300,-100.0,
28,600,-100.0,
29,0,-100.0,
29,300,-100.0,
29,600,-100.0,
30,0,-100.0,
30,300,-100.0,
30,600,-100.0,
31,0,-100.0,
31,300,-100.0,
31,600,-100.0,
32,0,-100.0,
32,300,-100.0,
32,600,-100.0,
33,0,-100.0,
33,300,-100.0,
33,600,-100.0,
34,0,-100.0,
34,300,-100.0,
34,600,-100.0,
35,0,-100.0,
35,300,-100.0,
35,600,-100.0,
36,0,-100.0,
36,300,-100.0,
36,600,-100.0,
37,0,-100.0,
37,300,-100.0,
37,600,-100.0,
38,0,-100.0,
38,300,-100.0,
38,600,-100.0,
39,0,234.0,
39,300,893.0,
39,600,923.0,
40,0,288.0,
40,300,915.0,
40,600,923.0,
41,0,258.0,
41,300,914.0,
41,600,923.0,
42,0,297.0,
42,300,923.0,
42,600,923.0,
43,0,46.0,
43,300,770.0,
43,600,923.0,
44,0,332.0,
44,300,923.0,
44,600,923.0,
45,0,297.0,
45,300,923.0,
45,600,923.0,
46,0,-100.0,
46,300,-100.0,
46,600,-100.0,
47,0,-100.0,
47,300,-100.0,
47,600,-100.0,
48,0,-100.0,
48,300,-100.0,
48,600,-100.0,
49,0,-100.0,
49,300,-100.0,
49,600,-100.0,
50,0,-100.0,
50,300,-100.0,
50,600,-100.0,
51,0,-100.0,
51,300,-100.0,
51,600,-100.0,
52,0,-100.0,
52,300,-100.0,
52,600,-100.0,
53,0,-100.0,
53,300,-100.0,
53,600,-100.0,
54,0,-100.0,
54,300,-100.0,
54,600,-100.0,
55,0,-100.0,
55,300,-100.0,
55,600,-100.0,
56,0,-100.0,
56,300,-100.0,
