Channel,Amplitude,mean,std
1,1200,1400.0,0.0
1,1500,1688.0,0.0
1,1800,1904.0,0.0
1,2100,2032.0,0.0
1,2400,2104.0,0.0
1,2700,2144.0,0.0
1,3000,2176.0,0.0
1,3300,2200.0,0.0
1,3600,2216.0,0.0
2,300,792.0,0.0
2,600,1152.0,0.0
2,900,1344.0,0.0
2,1200,1384.0,0.0
2,1500,1664.0,0.0
2,1800,1872.0,0.0
2,2100,2016.0,0.0
2,2400,2096.0,0.0
2,2700,2136.0,0.0
2,3000,2160.0,0.0
2,3300,2192.0,0.0
2,3600,2208.0,0.0
4,300,808.0,0.0
4,600,1160.0,0.0
4,900,1360.0,0.0
4,1200,1392.0,0.0
4,1500,1672.0,0.0
4,1800,1880.0,0.0
4,2100,2032.0,0.0
4,2400,2104.0,0.0
4,2700,2144.0,0.0
4,3000,2176.0,0.0
4,3300,2192.0,0.0
4,3600,2216.0,0.0
5,2100,2024.0,0.0
5,2400,2104.0,0.0
5,2700,2144.0,0.0
5,3000,2168.0,0.0
5,3300,2200.0,0.0
5,3600,2216.0,0.0
6,2400,2112.0,0.0
6,2700,2152.0,0.0
6,3000,2176.0,0.0
6,3300,2200.0,0.0
6,3600,2216.0,0.0
39,300,544.0,0.0
39,600,856.0,0.0
39,900,1184.0,0.0
39,1200,1544.0,0.0
39,1500,1952.0,0.0
39,1800,2352.0,0.0
39,2100,2696.0,0.0
39,2400,2960.0,0.0
39,2700,3184.0,0.0
39,3000,3360.0,0.0
39,3300,3512.0,0.0
39,3600,3648.0,0.0
40,300,600.0,0.0
40,600,896.0,0.0
40,900,1208.0,0.0
40,1200,1576.0,0.0
40,1500,1992.0,0.0
40,1800,2392.0,0.0
40,2100,2760.0,0.0
40,2400,3024.0,0.0
40,2700,3248.0,0.0
40,3000,3432.0,0.0
40,3300,3600.0,0.0
40,3600,3736.0,0.0
41,300,584.0,0.0
41,600,896.0,0.0
41,900,1208.0,0.0
41,1200,1600.0,0.0
41,1500,2032.0,0.0
41,1800,2432.0,0.0
41,2100,2792.0,0.0
41,2400,3088.0,0.0
41,2700,3304.0,0.0
41,3000,3480.0,0.0
41,3300,3648.0,0.0
41,3600,3784.0,0.0
42,300,608.0,0.0
42,600,896.0,0.0
42,900,1240.0,0.0
42,1200,1624.0,0.0
42,1500,2048.0,0.0
42,1800,2456.0,0.0
42,2100,2832.0,0.0
42,2400,3112.0,0.0
42,2700,3344.0,0.0
42,3000,3520.0,0.0
42,3300,3696.0,0.0
42,3600,3832.0,0.0
43,600,728.0,0.0
43,900,1048.0,0.0
43,1200,1392.0,0.0
43,1500,1760.0,0.0
43,1800,2160.0,0.0
43,2100,2472.0,0.0
43,2400,2720.0,0.0
43,2700,2936.0,0.0
43,3000,3120.0,0.0
43,3300,3272.0,0.0
43,3600,3400.0,0.0
44,300,656.0,0.0
44,600,920.0,0.0
44,900,1272.0,0.0
44,1200,1664.0,0.0
44,1500,2104.0,0.0
44,1800,2528.0,0.0
44,2100,2904.0,0.0
44,2400,3200.0,0.0
44,2700,3432.0,0.0
44,3000,3632.0,0.0
44,3300,3792.0,0.0
44,3600,3944.0,0.0
45,300,600.0,0.0
45,600,912.0,0.0
45,900,1240.0,0.0
45,1200,1624.0,0.0
45,1500,2056.0,0.0
45,1800,2472.0,0.0
45,2100,2840.0,0.0
45,2400,3128.0,0.0
45,2700,3360.0,0.0
45,3000,3552.0,0.0
45,3300,3736.0,0.0
45,3600,3864.0,0.0
77,600,600.0,0.0
77,900,1040.0,0.0
77,1200,1480.0,0.0
77,1500,1928.0,0.0
77,1800,2296.0,0.0
77,2100,2576.0,0.0
77,2400,2792.0,0.0
77,2700,2968.0,0.0
77,3000,3136.0,0.0
77,3300,3280.0,0.0
77,3600,3384.0,0.0
80,600,704.0,0.0
80,900,1088.0,0.0
80,1200,1520.0,0.0
80,1500,1944.0,0.0
80,1800,2320.0,0.0
80,2100,2616.0,0.0
80,2400,2840.0,0.0
80,2700,3024.0,0.0
80,3000,3184.0,0.0
80,3300,3328.0,0.0
80,3600,3424.0,0.0
120,600,752.0,0.0
120,900,1144.0,0.0
120,1200,1568.0,0.0
120,1500,2000.0,0.0
120,1800,2384.0,0.0
120,2100,2688.0,0.0
120,2400,2920.0,0.0
120,2700,3104.0,0.0
120,3000,3264.0,0.0
120,3300,3408.0,0.0
120,3600,3528.0,0.0
