Channel,Amplitude,mean,std
1,300,1000.0,0.0
1,600,1368.0,0.0
1,900,1472.0,0.0
1,1200,1816.0,0.0
1,1500,2072.0,0.0
1,1800,2184.0,0.0
1,2100,2248.0,0.0
1,2400,2296.0,0.0
1,2700,2328.0,0.0
1,3000,2360.0,0.0
1,3300,2776.0,0.0
1,3600,2832.0,0.0
2,300,976.0,0.0
2,600,1336.0,0.0
2,900,1472.0,0.0
2,1200,1816.0,0.0
2,1500,2072.0,0.0
2,1800,2192.0,0.0
2,2100,2256.0,0.0
2,2400,2296.0,0.0
2,2700,2344.0,0.0
2,3000,2760.0,0.0
2,3300,2808.0,0.0
2,3600,2848.0,0.0
3,300,1048.0,0.0
3,600,1440.0,0.0
3,900,1480.0,0.0
3,1200,1840.0,0.0
3,1500,2088.0,0.0
3,1800,2208.0,0.0
3,2100,2280.0,0.0
3,2400,2752.0,0.0
3,2700,2848.0,0.0
3,3000,2960.0,0.0
3,3300,3008.0,0.0
3,3600,3064.0,0.0
4,300,952.0,0.0
4,600,1296.0,0.0
4,900,1472.0,0.0
4,1200,1816.0,0.0
4,1500,2072.0,0.0
4,1800,2168.0,0.0
4,2100,2248.0,0.0
4,2400,2296.0,0.0
4,2700,2336.0,0.0
4,3000,2368.0,0.0
4,3300,2400.0,0.0
4,3600,2800.0,0.0
5,300,952.0,0.0
5,600,1304.0,0.0
5,900,1472.0,0.0
5,1200,1816.0,0.0
5,1500,2080.0,0.0
5,1800,2176.0,0.0
5,2100,2240.0,0.0
5,2400,2288.0,0.0
5,2700,2328.0,0.0
5,3000,2368.0,0.0
5,3300,2728.0,0.0
5,3600,2800.0,0.0
6,300,1000.0,0.0
6,600,1336.0,0.0
6,900,1456.0,0.0
6,1200,1816.0,0.0
6,1500,2072.0,0.0
6,1800,2184.0,0.0
6,2100,2240.0,0.0
6,2400,2304.0,0.0
6,2700,2736.0,0.0
6,3000,2792.0,0.0
6,3300,2896.0,0.0
6,3600,2936.0,0.0
7,300,1024.0,0.0
7,600,1408.0,0.0
7,900,1488.0,0.0
7,1200,1848.0,0.0
7,1500,2112.0,0.0
7,1800,2208.0,0.0
7,2100,2648.0,0.0
7,2400,2736.0,0.0
7,2700,2872.0,0.0
7,3000,2944.0,0.0
7,3300,3000.0,0.0
7,3600,3064.0,0.0
39,300,752.0,0.0
39,600,1136.0,0.0
39,900,1664.0,0.0
39,1200,2264.0,0.0
39,1500,2864.0,0.0
39,1800,3408.0,0.0
39,2100,3848.0,0.0
39,2400,4088.0,0.0
39,2700,4088.0,0.0
39,3000,4088.0,0.0
39,3300,4088.0,0.0
39,3600,4088.0,0.0
40,300,792.0,0.0
40,600,1176.0,0.0
40,900,1712.0,0.0
40,1200,2320.0,0.0
40,1500,2936.0,0.0
40,1800,3480.0,0.0
40,2100,3936.0,0.0
40,2400,4088.0,0.0
40,2700,4088.0,0.0
40,3000,4088.0,0.0
40,3300,4088.0,0.0
40,3600,4088.0,0.0
41,300,792.0,0.0
41,600,1184.0,0.0
41,900,1736.0,0.0
41,1200,2352.0,0.0
41,1500,2968.0,0.0
41,1800,3520.0,0.0
41,2100,3984.0,0.0
41,2400,4088.0,0.0
41,2700,4088.0,0.0
41,3000,4088.0,0.0
41,3300,4088.0,0.0
41,3600,4088.0,0.0
42,300,800.0,0.0
42,600,1184.0,0.0
42,900,1736.0,0.0
42,1200,2352.0,0.0
42,1500,2960.0,0.0
42,1800,3544.0,0.0
42,2100,4008.0,0.0
42,2400,4088.0,0.0
42,2700,4088.0,0.0
42,3000,4088.0,0.0
42,3300,4088.0,0.0
42,3600,4088.0,0.0
43,300,568.0,0.0
43,600,1008.0,0.0
43,900,1488.0,0.0
43,1200,2056.0,0.0
43,1500,2616.0,0.0
43,1800,3128.0,0.0
43,2100,3576.0,0.0
43,2400,3912.0,0.0
43,2700,4088.0,0.0
43,3000,4088.0,0.0
43,3300,4088.0,0.0
43,3600,4088.0,0.0
44,300,816.0,0.0
44,600,1256.0,0.0
44,900,1816.0,0.0
44,1200,2464.0,0.0
44,1500,3072.0,0.0
44,1800,3656.0,0.0
44,2100,4088.0,0.0
44,2400,4088.0,0.0
44,2700,4088.0,0.0
44,3000,4088.0,0.0
44,3300,4088.0,0.0
44,3600,4088.0,0.0
45,300,792.0,0.0
45,600,1200.0,0.0
45,900,1776.0,0.0
45,1200,2376.0,0.0
45,1500,2992.0,0.0
45,1800,3552.0,0.0
45,2100,4024.0,0.0
45,2400,4088.0,0.0
45,2700,4088.0,0.0
45,3000,4088.0,0.0
45,3300,4088.0,0.0
45,3600,4088.0,0.0
115,300,936.0,0.0
115,600,1296.0,0.0
115,900,1856.0,0.0
115,1200,2456.0,0.0
115,1500,3000.0,0.0
115,1800,3464.0,0.0
115,2100,3816.0,0.0
115,2400,4080.0,0.0
115,2700,4088.0,0.0
115,3000,4088.0,0.0
115,3300,4088.0,0.0
115,3600,4088.0,0.0
116,300,800.0,0.0
116,600,1216.0,0.0
116,900,1776.0,0.0
116,1200,2368.0,0.0
116,1500,2912.0,0.0
116,1800,3376.0,0.0
116,2100,3736.0,0.0
116,2400,4000.0,0.0
116,2700,4088.0,0.0
116,3000,4088.0,0.0
116,3300,4088.0,0.0
116,3600,4088.0,0.0
118,300,872.0,0.0
118,600,1264.0,0.0
118,900,1832.0,0.0
118,1200,2432.0,0.0
118,1500,2992.0,0.0
118,1800,3456.0,0.0
118,2100,3816.0,0.0
118,2400,4088.0,0.0
118,2700,4088.0,0.0
118,3000,4088.0,0.0
118,3300,4088.0,0.0
118,3600,4088.0,0.0
121,300,928.0,0.0
121,600,1480.0,0.0
121,900,2096.0,0.0
121,1200,2664.0,0.0
121,1500,3168.0,0.0
121,1800,3600.0,0.0
121,2100,3928.0,0.0
121,2400,4088.0,0.0
121,2700,4088.0,0.0
121,3000,4088.0,0.0
121,3300,4088.0,0.0
121,3600,4088.0,0.0
