Channel,Amplitude,mean,std
1,300,1000.0,0.0
1,600,1368.0,0.0
1,900,1448.0,0.0
1,1200,1816.0,0.0
1,1500,2080.0,0.0
1,1800,2192.0,0.0
1,2100,2248.0,0.0
1,2400,2288.0,0.0
1,2700,2336.0,0.0
1,3000,2368.0,0.0
1,3300,2776.0,0.0
1,3600,2824.0,0.0
2,300,968.0,0.0
2,600,1336.0,0.0
2,900,1456.0,0.0
2,1200,1824.0,0.0
2,1500,2072.0,0.0
2,1800,2192.0,0.0
2,2100,2256.0,0.0
2,2400,2312.0,0.0
2,2700,2704.0,0.0
2,3000,2752.0,0.0
2,3300,2792.0,0.0
2,3600,2856.0,0.0
3,300,1048.0,0.0
3,600,1440.0,0.0
3,900,1472.0,0.0
3,1200,1832.0,0.0
3,1500,2096.0,0.0
3,1800,2208.0,0.0
3,2100,2272.0,0.0
3,2400,2736.0,0.0
3,2700,2880.0,0.0
3,3000,2944.0,0.0
3,3300,3000.0,0.0
3,3600,3064.0,0.0
4,300,960.0,0.0
4,600,1304.0,0.0
4,900,1448.0,0.0
4,1200,1808.0,0.0
4,1500,2072.0,0.0
4,1800,2184.0,0.0
4,2100,2248.0,0.0
4,2400,2296.0,0.0
4,2700,2336.0,0.0
4,3000,2368.0,0.0
4,3300,2384.0,0.0
4,3600,2784.0,0.0
5,300,960.0,0.0
5,600,1304.0,0.0
5,900,1448.0,0.0
5,1200,1824.0,0.0
5,1500,2064.0,0.0
5,1800,2176.0,0.0
5,2100,2240.0,0.0
5,2400,2288.0,0.0
5,2700,2328.0,0.0
5,3000,2368.0,0.0
5,3300,2744.0,0.0
5,3600,2800.0,0.0
6,300,976.0,0.0
6,600,1368.0,0.0
6,900,1456.0,0.0
6,1200,1816.0,0.0
6,1500,2080.0,0.0
6,1800,2200.0,0.0
6,2100,2248.0,0.0
6,2400,2304.0,0.0
6,2700,2720.0,0.0
6,3000,2808.0,0.0
6,3300,2872.0,0.0
6,3600,2952.0,0.0
7,300,1024.0,0.0
7,600,1408.0,0.0
7,900,1504.0,0.0
7,1200,1840.0,0.0
7,1500,2096.0,0.0
7,1800,2208.0,0.0
7,2100,2632.0,0.0
7,2400,2752.0,0.0
7,2700,2856.0,0.0
7,3000,2944.0,0.0
7,3300,3000.0,0.0
7,3600,3040.0,0.0
39,300,736.0,0.0
39,600,1128.0,0.0
39,900,1664.0,0.0
39,1200,2272.0,0.0
39,1500,2864.0,0.0
39,1800,3392.0,0.0
39,2100,3856.0,0.0
39,2400,4088.0,0.0
39,2700,4088.0,0.0
39,3000,4088.0,0.0
39,3300,4088.0,0.0
39,3600,4088.0,0.0
40,300,784.0,0.0
40,600,1168.0,0.0
40,900,1704.0,0.0
40,1200,2320.0,0.0
40,1500,2928.0,0.0
40,1800,3472.0,0.0
40,2100,3936.0,0.0
40,2400,4088.0,0.0
40,2700,4088.0,0.0
40,3000,4088.0,0.0
40,3300,4088.0,0.0
40,3600,4088.0,0.0
41,300,792.0,0.0
41,600,1168.0,0.0
41,900,1744.0,0.0
41,1200,2368.0,0.0
41,1500,2968.0,0.0
41,1800,3520.0,0.0
41,2100,3992.0,0.0
41,2400,4088.0,0.0
41,2700,4088.0,0.0
41,3000,4088.0,0.0
41,3300,4088.0,0.0
41,3600,4088.0,0.0
42,300,784.0,0.0
42,600,1192.0,0.0
42,900,1736.0,0.0
42,1200,2392.0,0.0
42,1500,2976.0,0.0
42,1800,3528.0,0.0
42,2100,4016.0,0.0
42,2400,4088.0,0.0
42,2700,4088.0,0.0
42,3000,4088.0,0.0
42,3300,4088.0,0.0
42,3600,4088.0,0.0
43,300,568.0,0.0
43,600,992.0,0.0
43,900,1496.0,0.0
43,1200,2064.0,0.0
43,1500,2600.0,0.0
43,1800,3112.0,0.0
43,2100,3560.0,0.0
43,2400,3888.0,0.0
43,2700,4088.0,0.0
43,3000,4088.0,0.0
43,3300,4088.0,0.0
43,3600,4088.0,0.0
44,300,832.0,0.0
44,600,1240.0,0.0
44,900,1808.0,0.0
44,1200,2456.0,0.0
44,1500,3080.0,0.0
44,1800,3656.0,0.0
44,2100,4088.0,0.0
44,2400,4088.0,0.0
44,2700,4088.0,0.0
44,3000,4088.0,0.0
44,3300,4088.0,0.0
44,3600,872.0,0.0
45,300,800.0,0.0
45,600,1216.0,0.0
45,900,1752.0,0.0
45,1200,2384.0,0.0
45,1500,3000.0,0.0
45,1800,3552.0,0.0
45,2100,4024.0,0.0
45,2400,4088.0,0.0
45,2700,4088.0,0.0
45,3000,4088.0,0.0
45,3300,4088.0,0.0
45,3600,4088.0,0.0
77,300,360.0,0.0
77,600,952.0,0.0
77,900,1600.0,0.0
77,1200,2248.0,0.0
77,1500,2832.0,0.0
77,1800,3304.0,0.0
77,2100,3648.0,0.0
77,2400,3944.0,0.0
77,2700,4088.0,0.0
77,3000,4088.0,0.0
77,3300,4088.0,0.0
77,3600,4088.0,0.0
80,300,475.0,0.0
80,600,1024.0,0.0
80,900,1640.0,0.0
80,1200,2280.0,0.0
80,1500,2848.0,0.0
80,1800,3328.0,0.0
80,2100,3688.0,0.0
80,2400,3960.0,0.0
80,2700,4088.0,0.0
80,3000,4088.0,0.0
80,3300,4088.0,0.0
80,3600,4088.0,0.0
120,300,487.0,0.0
120,600,1032.0,0.0
120,900,1640.0,0.0
120,1200,2248.0,0.0
120,1500,2816.0,0.0
120,1800,3296.0,0.0
120,2100,3672.0,0.0
120,2400,3968.0,0.0
120,2700,4088.0,0.0
120,3000,4088.0,0.0
120,3300,4088.0,0.0
120,3600,4088.0,0.0
