Channel,Amplitude,mean,std
2,400,453.0,0.0
2,500,576.0,0.0
2,600,680.0,0.0
2,700,792.0,0.0
2,800,904.0,0.0
2,900,1008.0,0.0
2,1000,1128.0,0.0
2,1100,1256.0,0.0
2,1200,1384.0,0.0
2,1300,1512.0,0.0
2,1400,1640.0,0.0
2,1500,1760.0,0.0
2,1600,1872.0,0.0
2,1700,1984.0,0.0
2,1800,2088.0,0.0
2,1900,2184.0,0.0
2,2000,2272.0,0.0
2,2100,2352.0,0.0
2,2200,2424.0,0.0
2,2300,2496.0,0.0
2,2400,2552.0,0.0
2,2500,2616.0,0.0
2,2600,2664.0,0.0
2,2700,2720.0,0.0
2,2800,2768.0,0.0
2,2900,2808.0,0.0
2,3000,2856.0,0.0
2,3100,2888.0,0.0
2,3200,2928.0,0.0
2,3300,2960.0,0.0
2,3400,3000.0,0.0
2,3500,3032.0,0.0
2,3600,3064.0,0.0
2,3700,3096.0,0.0
2,3800,3128.0,0.0
2,3900,3152.0,0.0
2,4000,3176.0,0.0
3,4000,2408.0,0.0
4,400,449.0,0.0
4,500,568.0,0.0
4,600,680.0,0.0
4,700,800.0,0.0
4,800,920.0,0.0
4,900,1032.0,0.0
4,1000,1152.0,0.0
4,1100,1280.0,0.0
4,1200,1408.0,0.0
4,1300,1544.0,0.0
4,1400,1672.0,0.0
4,1500,1800.0,0.0
4,1600,1912.0,0.0
4,1800,2136.0,0.0
4,1900,2232.0,0.0
4,2000,2312.0,0.0
4,2100,2400.0,0.0
4,2200,2480.0,0.0
4,2300,2552.0,0.0
4,2400,2616.0,0.0
4,2500,2672.0,0.0
4,2600,2720.0,0.0
4,2700,2776.0,0.0
4,2800,2824.0,0.0
4,2900,2872.0,0.0
4,3000,2912.0,0.0
4,3100,2952.0,0.0
4,3200,2992.0,0.0
4,3300,3024.0,0.0
4,3400,3064.0,0.0
4,3500,3096.0,0.0
4,3600,3136.0,0.0
4,3700,3160.0,0.0
4,3800,3192.0,0.0
4,3900,3216.0,0.0
4,4000,3248.0,0.0
5,400,459.0,0.0
5,500,576.0,0.0
5,600,688.0,0.0
5,700,800.0,0.0
5,800,920.0,0.0
5,900,1040.0,0.0
5,1000,1160.0,0.0
5,1100,1288.0,0.0
