Channel,Amplitude,mean,std
0,800,-100.0,
0,1000,-100.0,
0,1100,-100.0,
0,1200,-100.0,
0,1300,-100.0,
0,1400,-100.0,
0,1600,-100.0,
0,2000,-100.0,
0,3000,-100.0,
0,4000,-100.0,
1,800,395.0,
1,1000,411.0,
1,1100,411.0,
1,1200,411.0,
1,1300,411.0,
1,1400,411.0,
1,1600,411.0,
1,2000,411.0,
1,3000,411.0,
1,4000,411.0,
2,800,898.0,
2,1000,923.0,
2,1100,923.0,
2,1200,923.0,
2,1300,923.0,
2,1400,923.0,
2,1600,923.0,
2,2000,923.0,
2,3000,923.0,
2,4000,923.0,
3,800,923.0,
3,1000,923.0,
3,1100,923.0,
3,1200,923.0,
3,1300,923.0,
3,1400,923.0,
3,1600,923.0,
3,2000,923.0,
3,3000,923.0,
3,4000,923.0,
4,800,923.0,
4,1000,923.0,
4,1100,923.0,
4,1200,923.0,
4,1300,923.0,
4,1400,923.0,
4,1600,923.0,
4,2000,923.0,
4,3000,923.0,
4,4000,923.0,
5,800,923.0,
5,1000,923.0,
5,1100,923.0,
5,1200,923.0,
5,1300,923.0,
5,1400,923.0,
5,1600,923.0,
5,2000,923.0,
5,3000,923.0,
5,4000,923.0,
6,800,900.0,
6,1000,923.0,
6,1100,923.0,
6,1200,923.0,
6,1300,923.0,
6,1400,923.0,
6,1600,923.0,
6,2000,923.0,
6,3000,923.0,
6,4000,923.0,
7,800,923.0,
7,1000,923.0,
7,1100,923.0,
7,1200,923.0,
7,1300,923.0,
7,1400,923.0,
7,1600,923.0,
7,2000,923.0,
7,3000,923.0,
7,4000,923.0,
8,800,923.0,
8,1000,923.0,
8,1100,923.0,
8,1200,923.0,
8,1300,923.0,
8,1400,923.0,
8,1600,923.0,
8,2000,923.0,
8,3000,923.0,
8,4000,923.0,
9,800,923.0,
9,1000,923.0,
9,1100,923.0,
9,1200,923.0,
9,1300,923.0,
9,1400,923.0,
9,1600,923.0,
9,2000,923.0,
9,3000,923.0,
9,4000,923.0,
10,800,923.0,
10,1000,923.0,
10,1100,923.0,
10,1200,923.0,
10,1300,923.0,
10,1400,923.0,
10,1600,923.0,
10,2000,923.0,
10,3000,923.0,
10,4000,923.0,
11,800,923.0,
11,1000,923.0,
11,1100,923.0,
11,1200,923.0,
11,1300,923.0,
11,1400,923.0,
11,1600,923.0,
11,2000,923.0,
11,3000,923.0,
11,4000,923.0,
12,800,923.0,
12,1000,923.0,
12,1100,923.0,
12,1200,923.0,
12,1300,923.0,
12,1400,923.0,
12,1600,923.0,
12,2000,923.0,
12,3000,923.0,
12,4000,923.0,
13,800,923.0,
13,1000,923.0,
13,1100,923.0,
13,1200,923.0,
13,1300,923.0,
13,1400,923.0,
13,1600,923.0,
13,2000,923.0,
13,3000,923.0,
13,4000,923.0,
14,800,923.0,
14,1000,923.0,
14,1100,923.0,
14,1200,923.0,
14,1300,923.0,
14,1400,923.0,
14,1600,923.0,
14,2000,923.0,
14,3000,923.0,
14,4000,923.0,
15,800,923.0,
15,1000,923.0,
15,1100,923.0,
15,1200,923.0,
15,1300,923.0,
15,1400,923.0,
15,1600,923.0,
15,2000,923.0,
15,3000,923.0,
15,4000,923.0,
16,800,923.0,
16,1000,923.0,
16,1100,923.0,
16,1200,923.0,
16,1300,923.0,
16,1400,923.0,
16,1600,923.0,
16,2000,923.0,
16,3000,923.0,
16,4000,923.0,
17,800,923.0,
17,1000,923.0,
17,1100,923.0,
