Channel,Time,Phase,ADC,TOT_10bit,TOT_12bit,ToA
1,0.0,7,80,0,0,0
1,1.5625,8,82,0,0,0
1,3.125,9,83,0,0,0
1,4.6875,10,80,0,0,0
1,6.25,11,82,0,0,0
1,7.8125,12,78,0,0,0
1,9.375,13,80,0,0,0
1,10.9375,14,79,0,0,0
1,12.5,15,81,0,0,0
1,14.0625,0,77,0,0,0
1,15.625,1,81,0,0,0
1,17.1875,2,80,0,0,0
1,18.75,3,81,0,0,0
1,20.3125,4,80,0,0,0
1,21.875,5,84,0,0,0
1,23.4375,6,79,0,0,0
1,25.0,7,82,0,0,0
1,26.5625,8,81,0,0,0
1,28.125,9,80,0,0,0
1,29.6875,10,80,0,0,0
1,31.25,11,81,0,0,0
1,32.8125,12,78,0,0,0
1,34.375,13,79,0,0,0
1,35.9375,14,84,0,0,0
1,37.5,15,81,0,0,0
1,39.0625,0,76,0,0,0
1,40.625,1,80,0,0,0
1,42.1875,2,81,0,0,0
1,43.75,3,82,0,0,0
1,45.3125,4,80,0,0,0
1,46.875,5,86,0,0,0
1,48.4375,6,80,0,0,0
1,50.0,7,82,0,0,0
1,51.5625,8,82,0,0,0
1,53.125,9,80,0,0,0
1,54.6875,10,80,0,0,0
1,56.25,11,82,0,0,0
1,57.8125,12,80,0,0,0
1,59.375,13,80,0,0,0
1,60.9375,14,83,0,0,0
1,62.5,15,83,0,0,0
1,64.0625,0,76,0,0,0
1,65.625,1,80,0,0,0
1,67.1875,2,81,0,0,0
1,68.75,3,83,0,0,0
1,70.3125,4,79,0,0,0
1,71.875,5,85,0,0,0
1,73.4375,6,81,0,0,0
1,75.0,7,113,0,0,0
1,76.5625,8,175,0,0,0
1,78.125,9,281,0,0,0
1,79.6875,10,417,0,0,0
1,81.25,11,551,0,0,0
1,82.8125,12,692,0,0,0
1,84.375,13,827,0,0,0
1,87.5,15,1023,0,0,0
1,89.0625,0,1023,0,0,0
1,90.625,1,1023,0,0,0
1,92.1875,2,1023,0,0,0
1,93.75,3,1023,0,0,0
1,95.3125,4,1023,0,0,0
1,96.875,5,1023,0,0,0
1,98.4375,6,89,0,0,0
1,100.0,7,1023,694,1456,501
1,101.5625,8,1023,694,1456,432
1,103.125,9,1023,694,1456,365
1,104.6875,10,1023,695,1464,298
1,106.25,11,1023,693,1448,245
1,107.8125,12,1023,694,1456,177
1,109.375,13,1023,694,1456,109
1,110.9375,14,1023,695,1464,43
1,112.5,15,1023,1023,4088,1013
1,114.0625,0,1023,801,2312,944
1,115.625,1,1023,1023,4088,877
1,117.1875,2,1023,1023,4088,811
1,118.75,3,1023,694,1456,755
1,120.3125,4,1023,694,1456,689
1,121.875,5,1023,694,1456,621
1,123.4375,6,1023,0,0,0
1,125.0,7,1023,0,0,0
1,126.5625,8,1023,0,0,0
1,128.125,9,1023,0,0,0
1,129.6875,10,1023,0,0,0
1,131.25,11,1023,0,0,0
1,132.8125,12,1023,0,0,0
1,134.375,13,1023,0,0,0
1,135.9375,14,1023,0,0,0
1,137.5,15,1023,0,0,0
1,139.0625,0,1023,0,0,0
1,140.625,1,1023,0,0,0
1,142.1875,2,1023,0,0,0
1,143.75,3,1023,0,0,0
1,145.3125,4,1023,0,0,0
1,146.875,5,1023,0,0,0
1,148.4375,6,1023,694,1456,556
1,150.0,7,1023,0,0,0
1,151.5625,8,1023,0,0,0
1,153.125,9,1023,0,0,0
1,154.6875,10,1023,0,0,0
1,156.25,11,1023,0,0,0
1,157.8125,12,1023,0,0,0
1,159.375,13,1020,0,0,0
1,160.9375,14,955,0,0,0
1,162.5,15,879,0,0,0
1,164.0625,0,845,0,0,0
1,165.625,1,742,0,0,0
1,167.1875,2,693,0,0,0
1,168.75,3,670,0,0,0
1,170.3125,4,640,0,0,0
1,171.875,5,576,0,0,0
1,173.4375,6,1023,0,0,0
1,175.0,7,456,0,0,0
1,176.5625,8,407,0,0,0
1,178.125,9,394,0,0,0
1,179.6875,10,403,0,0,0
1,181.25,11,405,0,0,0
1,182.8125,12,402,0,0,0
1,184.375,13,401,0,0,0
1,185.9375,14,397,0,0,0
1,187.5,15,387,390,390,965
1,189.0625,0,374,324,324,970
1,190.625,1,366,371,371,861
1,192.1875,2,360,396,396,770
1,193.75,3,354,0,0,0
1,195.3125,4,345,0,0,0
1,196.875,5,337,0,0,0
1,198.4375,6,518,0,0,0
2,0.0,7,80,0,0,0
2,1.5625,8,80,0,0,0
2,3.125,9,81,0,0,0
2,4.6875,10,79,0,0,0
2,6.25,11,79,0,0,0
2,7.8125,12,79,0,0,0
2,9.375,13,85,0,0,0
2,10.9375,14,81,0,0,0
2,12.5,15,80,0,0,0
2,14.0625,0,80,0,0,0
2,15.625,1,80,0,0,0
2,17.1875,2,81,0,0,0
2,18.75,3,78,0,0,0
2,20.3125,4,80,0,0,0
