Channel,Time,Phase,ADC,TOT_10bit,TOT_12bit,ToA
1,14.0625,0,83,0,0,0
1,39.0625,0,82,0,0,0
1,64.0625,0,81,0,0,0
1,89.0625,0,1023,0,0,0
1,114.0625,0,505,638,1008,456
1,139.0625,0,374,0,0,0
1,164.0625,0,245,0,0,0
1,189.0625,0,191,0,0,0
1,15.625,1,84,0,0,0
1,40.625,1,83,0,0,0
1,65.625,1,84,0,0,0
1,115.625,1,496,638,1008,390
1,140.625,1,368,0,0,0
1,165.625,1,243,0,0,0
1,190.625,1,191,0,0,0
1,17.1875,2,81,0,0,0
1,42.1875,2,81,0,0,0
1,67.1875,2,81,0,0,0
1,92.1875,2,1023,0,0,0
1,117.1875,2,495,637,1000,324
1,142.1875,2,357,0,0,0
1,167.1875,2,237,0,0,0
1,192.1875,2,186,0,0,0
1,18.75,3,84,0,0,0
1,43.75,3,81,0,0,0
1,68.75,3,86,0,0,0
1,93.75,3,1023,0,0,0
1,118.75,3,497,639,1016,256
1,143.75,3,348,0,0,0
1,168.75,3,237,0,0,0
1,193.75,3,191,0,0,0
1,20.3125,4,88,0,0,0
1,45.3125,4,85,0,0,0
1,70.3125,4,82,0,0,0
1,95.3125,4,1023,0,0,0
1,120.3125,4,494,640,1024,200
1,145.3125,4,337,0,0,0
1,195.3125,4,185,0,0,0
1,21.875,5,84,0,0,0
1,46.875,5,84,0,0,0
1,71.875,5,89,0,0,0
1,96.875,5,1023,0,0,0
1,121.875,5,487,640,1024,135
1,146.875,5,333,0,0,0
1,171.875,5,228,0,0,0
1,196.875,5,180,0,0,0
1,23.4375,6,82,0,0,0
1,48.4375,6,80,0,0,0
1,73.4375,6,79,0,0,0
1,98.4375,6,91,0,0,0
1,123.4375,6,993,0,0,0
1,148.4375,6,479,5,5,69
1,173.4375,6,319,0,0,0
1,198.4375,6,221,0,0,0
1,0.0,7,80,0,0,0
1,25.0,7,81,0,0,0
1,50.0,7,81,0,0,0
1,75.0,7,112,0,0,0
1,100.0,7,917,0,0,0
1,150.0,7,312,0,0,0
1,175.0,7,221,0,0,0
1,1.5625,8,81,0,0,0
1,26.5625,8,81,0,0,0
1,51.5625,8,81,0,0,0
1,76.5625,8,158,0,0,0
1,101.5625,8,818,637,1000,987
1,126.5625,8,463,0,0,0
1,151.5625,8,303,0,0,0
1,176.5625,8,215,0,0,0
1,3.125,9,77,0,0,0
1,28.125,9,85,0,0,0
1,53.125,9,82,0,0,0
1,78.125,9,255,0,0,0
1,103.125,9,718,639,1016,901
1,128.125,9,458,0,0,0
1,153.125,9,297,0,0,0
1,178.125,9,213,0,0,0
1,4.6875,10,82,0,0,0
1,29.6875,10,81,0,0,0
1,54.6875,10,83,0,0,0
1,79.6875,10,388,0,0,0
1,104.6875,10,623,638,1008,834
1,129.6875,10,444,0,0,0
1,154.6875,10,286,0,0,0
1,179.6875,10,211,0,0,0
1,6.25,11,82,0,0,0
1,31.25,11,81,0,0,0
1,56.25,11,81,0,0,0
1,81.25,11,515,0,0,0
1,106.25,11,574,639,1016,770
1,131.25,11,433,0,0,0
1,156.25,11,278,0,0,0
1,181.25,11,207,0,0,0
1,7.8125,12,84,0,0,0
1,32.8125,12,82,0,0,0
1,57.8125,12,84,0,0,0
1,82.8125,12,655,0,0,0
1,107.8125,12,548,638,1008,714
1,132.8125,12,422,0,0,0
1,157.8125,12,271,0,0,0
1,182.8125,12,203,0,0,0
1,9.375,13,81,0,0,0
1,34.375,13,84,0,0,0
1,59.375,13,81,0,0,0
1,84.375,13,791,0,0,0
1,109.375,13,528,637,1000,647
1,134.375,13,410,0,0,0
1,159.375,13,266,0,0,0
1,184.375,13,198,0,0,0
1,10.9375,14,82,0,0,0
1,35.9375,14,81,0,0,0
1,60.9375,14,81,0,0,0
1,85.9375,14,912,0,0,0
1,110.9375,14,520,641,1032,579
1,135.9375,14,406,0,0,0
1,160.9375,14,264,0,0,0
1,185.9375,14,201,0,0,0
1,12.5,15,85,0,0,0
1,37.5,15,84,0,0,0
1,62.5,15,82,0,0,0
1,87.5,15,1001,0,0,0
1,112.5,15,512,639,1016,513
1,137.5,15,389,0,0,0
1,162.5,15,250,0,0,0
1,187.5,15,190,0,0,0
2,14.0625,0,82,0,0,0
2,64.0625,0,80,0,0,0
2,89.0625,0,1023,0,0,0
2,114.0625,0,490,634,976,464
2,139.0625,0,370,0,0,0
2,164.0625,0,240,0,0,0
2,189.0625,0,181,0,0,0
2,15.625,1,78,0,0,0
2,40.625,1,78,0,0,0
2,65.625,1,80,0,0,0
2,90.625,1,1023,0,0,0
2,115.625,1,481,633,968,400
2,140.625,1,357,0,0,0
2,165.625,1,234,0,0,0
2,190.625,1,179,0,0,0
2,17.1875,2,81,0,0,0
2,42.1875,2,81,0,0,0
2,67.1875,2,82,0,0,0
2,92.1875,2,1023,0,0,0
2,117.1875,2,480,633,968,333
2,142.1875,2,347,0,0,0
2,167.1875,2,233,0,0,0
2,192.1875,2,181,0,0,0
2,18.75,3,80,0,0,0
2,43.75,3,78,0,0,0
2,68.75,3,82,0,0,0
2,93.75,3,1023,0,0,0
2,118.75,3,475,633,968,265
2,143.75,3,338,0,0,0
2,168.75,3,226,0,0,0
2,193.75,3,179,0,0,0
2,20.3125,4,80,0,0,0
2,45.3125,4,81,0,0,0
2,70.3125,4,81,0,0,0
2,95.3125,4,1023,0,0,0
2,120.3125,4,472,632,960,210
2,145.3125,4,330,0,0,0
2,170.3125,4,222,0,0,0
2,195.3125,4,177,0,0,0
2,21.875,5,81,0,0,0
2,46.875,5,79,0,0,0
2,71.875,5,81,0,0,0
2,96.875,5,1023,0,0,0
2,146.875,5,317,0,0,0
2,171.875,5,216,0,0,0
2,196.875,5,174,0,0,0
2,23.4375,6,76,0,0,0
2,48.4375,6,76,0,0,0
2,73.4375,6,80,0,0,0
2,98.4375,6,87,0,0,0
2,123.4375,6,1006,0,0,0
2,148.4375,6,462,584,576,78
2,173.4375,6,308,0,0,0
2,198.4375,6,213,0,0,0
2,0.0,7,79,0,0,0
2,25.0,7,82,0,0,0
2,50.0,7,81,0,0,0
2,75.0,7,107,0,0,0
2,100.0,7,915,0,0,0
2,125.0,7,459,634,976,10
2,150.0,7,302,0,0,0
2,175.0,7,210,0,0,0
2,1.5625,8,81,0,0,0
2,26.5625,8,82,0,0,0
2,51.5625,8,80,0,0,0
2,76.5625,8,153,0,0,0
2,101.5625,8,805,632,960,980
2,126.5625,8,449,0,0,0
2,151.5625,8,291,0,0,0
2,176.5625,8,205,0,0,0
2,3.125,9,78,0,0,0
2,53.125,9,80,0,0,0
2,78.125,9,251,0,0,0
2,103.125,9,690,631,952,912
2,128.125,9,438,0,0,0
2,153.125,9,285,0,0,0
2,178.125,9,208,0,0,0
2,4.6875,10,79,0,0,0
2,54.6875,10,79,0,0,0
2,79.6875,10,378,0,0,0
2,104.6875,10,607,632,960,845
2,129.6875,10,429,0,0,0
2,154.6875,10,277,0,0,0
2,179.6875,10,200,0,0,0
2,6.25,11,79,0,0,0
2,31.25,11,80,0,0,0
2,56.25,11,81,0,0,0
2,81.25,11,516,0,0,0
2,106.25,11,557,633,968,780
