Channel,Amplitude,mean,std
1,100,157.4,2.073644135332775
1,200,389.0,2.8284271247461867
1,300,658.8,4.1472882706655385
1,400,926.2,4.3243496620879265
2,100,163.8,1.3038404810405315
2,200,395.8,2.683281572999749
2,300,664.0,2.738612787525838
2,400,939.2,1.7888543819998366
77,100,158.0,2.9154759474226504
77,200,371.8,2.7748873851023284
77,300,632.8,3.193743884534265
77,400,904.2,8.526429498916874
78,100,182.8,1.6431676725154982
78,200,408.8,4.207136793592524
78,300,671.8,4.549725266430928
78,400,942.0,8.514693182963201
