Channel,Amplitude,mean,std
1,400,841.6,10.430723848324238
1,450,1006.4,6.6932802122726045
1,925,1622.4,6.6932802122726045
1,1135,1769.6,6.6932802122726045
1,1345,1363.2,7.155417527999327
1,1450,1654.125,391.0439819679282
1,1555,2204.0,5.656854249492381
1,1765,3347.2,1041.193161714002
1,1975,4088.0,0.0
2,400,748.8,9.121403400793104
2,450,972.8,4.381780460041329
2,925,1604.8,12.13260071048248
2,1135,1755.2,7.155417527999327
2,1345,1326.4,3.5777087639996634
2,1450,1426.0,4.0
2,1555,2211.2,5.0199601592044525
2,1765,4088.0,0.0
2,1975,4088.0,0.0
77,400,944.0,5.656854249492381
77,450,1094.4,6.6932802122726045
77,925,1689.6,3.577708763999664
77,1135,1854.4,6.6932802122726045
77,1345,1979.2,4.381780460041329
77,1450,1392.0,0.0
77,1555,1977.6,761.1864423385377
77,1765,4088.0,0.0
77,1975,4088.0,0.0
78,400,894.4,16.395121225535355
78,450,1057.6,6.6932802122726045
78,925,1688.0,5.656854249492381
78,1135,1849.6,10.430723848324238
78,1345,1985.6,3.5777087639996634
78,1450,1400.0,0.0
78,1555,2307.2,15.84929020492716
78,1765,3586.0,1004.0
78,1975,4088.0,0.0
