FPGA,PB,Channel,HV
208,06,1,93.0
208,06,2,83.0
208,06,3,81.0
208,06,4,88.0
208,06,5,82.0
208,06,6,99.0
208,06,7,88.0
208,06,8,89.0
208,06,9,120.0
208,06,10,76.0
208,06,11,84.0
208,06,12,85.0
208,06,13,80.0
208,06,14,103.0
208,06,15,80.0
208,06,16,87.0
208,06,17,101.0
208,06,18,82.0
208,06,20,81.0
208,06,21,86.0
208,06,22,83.0
208,06,23,79.0
208,06,24,81.0
208,06,25,85.0
208,06,26,82.0
208,06,27,82.0
208,06,28,81.0
208,06,29,86.0
208,06,30,73.0
208,06,31,79.0
208,06,32,83.0
208,06,33,57.0
208,06,34,86.0
208,06,35,83.0
208,06,36,85.0
208,06,37,0.0
208,06,39,78.0
208,06,40,63.0
208,06,41,81.0
208,06,42,81.0
208,06,43,80.0
208,06,44,80.0
208,06,45,86.0
208,06,46,58.0
208,06,47,85.0
208,06,48,81.0
208,06,49,99.0
208,06,50,77.0
208,06,51,79.0
208,06,52,76.0
208,06,53,67.0
208,06,54,85.0
208,06,55,81.0
208,06,56,80.0
208,06,58,82.0
208,06,59,82.0
208,06,60,85.0
208,06,61,82.0
208,06,62,85.0
208,06,63,84.0
208,06,64,79.0
208,06,65,79.0
208,06,66,90.0
208,06,67,117.0
208,06,68,81.0
208,06,69,77.0
208,06,70,78.0
208,06,71,82.0
208,06,72,82.0
208,06,73,83.0
208,06,74,70.0
208,06,75,0.0
208,06,77,79.0
208,06,78,57.0
208,06,79,84.0
208,06,80,85.0
208,06,81,110.0
208,06,82,77.0
208,06,83,76.0
208,06,84,83.0
208,06,85,78.0
208,06,86,77.0
208,06,87,81.0
208,06,88,81.0
208,06,89,77.0
208,06,90,46.0
208,06,91,81.0
208,06,92,75.0
208,06,93,77.0
208,06,94,80.0
208,06,96,81.0
208,06,97,95.0
208,06,98,78.0
208,06,99,79.0
208,06,100,81.0
208,06,101,85.0
208,06,102,89.0
208,06,103,81.0
208,06,104,78.0
208,06,105,87.0
208,06,106,79.0
208,06,107,79.0
208,06,108,90.0
208,06,109,81.0
208,06,110,81.0
208,06,111,80.0
208,06,112,68.0
208,06,113,0.0
208,06,115,53.0
208,06,116,65.0
208,06,117,63.0
208,06,118,52.0
208,06,119,81.0
208,06,120,77.0
208,06,121,80.0
208,06,122,81.0
208,06,123,79.0
208,06,124,61.0
208,06,125,78.0
208,06,126,88.0
208,06,127,78.0
208,06,128,77.0
208,06,129,76.0
208,06,130,80.0
208,06,131,77.0
208,06,132,81.0
208,06,134,76.0
208,06,135,85.0
208,06,136,81.0
208,06,137,75.0
208,06,138,84.0
208,06,139,80.0
208,06,140,78.0
208,06,141,77.0
208,06,142,81.0
208,06,143,78.0
208,06,144,79.0
208,06,145,87.0
208,06,146,91.0
208,06,147,78.0
208,06,148,79.0
208,06,149,79.0
208,06,150,73.0
208,06,151,0.0
209,008,1,93.0
209,008,2,83.0
209,008,3,81.0
209,008,4,88.0
209,008,5,82.0
209,008,6,99.0
209,008,7,88.0
209,008,8,89.0
209,008,9,120.0
209,008,10,76.0
209,008,11,84.0
209,008,12,85.0
209,008,13,80.0
209,008,14,103.0
209,008,15,80.0
209,008,16,87.0
209,008,17,101.0
209,008,18,82.0
209,008,20,81.0
209,008,21,86.0
209,008,22,83.0
209,008,23,79.0
209,008,24,81.0
209,008,25,85.0
209,008,26,82.0
209,008,27,82.0
209,008,28,81.0
209,008,29,86.0
209,008,30,73.0
209,008,31,79.0
209,008,32,83.0
209,008,33,57.0
209,008,34,86.0
209,008,35,83.0
209,008,36,85.0
209,008,37,0.0
209,008,39,78.0
209,008,40,63.0
209,008,41,81.0
209,008,42,81.0
209,008,43,80.0
209,008,44,80.0
209,008,45,86.0
209,008,46,58.0
209,008,47,85.0
209,008,48,81.0
209,008,49,99.0
209,008,50,77.0
209,008,51,79.0
209,008,52,76.0
209,008,53,67.0
209,008,54,85.0
209,008,55,81.0
209,008,56,80.0
209,008,58,82.0
209,008,59,82.0
209,008,60,85.0
209,008,61,82.0
209,008,62,85.0
209,008,63,84.0
209,008,64,79.0
209,008,65,79.0
209,008,66,90.0
209,008,67,117.0
209,008,68,81.0
209,008,69,77.0
209,008,70,78.0
209,008,71,82.0
209,008,72,82.0
209,008,73,83.0
209,008,74,70.0
209,008,75,0.0
209,008,77,79.0
209,008,78,57.0
209,008,79,84.0
209,008,80,85.0
209,008,81,110.0
209,008,82,77.0
209,008,83,76.0
209,008,84,83.0
209,008,85,78.0
209,008,86,77.0
209,008,87,81.0
209,008,88,81.0
209,008,89,77.0
209,008,90,46.0
209,008,91,81.0
209,008,92,75.0
209,008,93,77.0
209,008,94,80.0
209,008,96,81.0
209,008,97,95.0
209,008,98,78.0
209,008,99,79.0
209,008,100,81.0
209,008,101,85.0
209,008,102,89.0
209,008,103,81.0
209,008,104,78.0
209,008,105,87.0
209,008,106,79.0
209,008,107,79.0
209,008,108,90.0
209,008,109,81.0
209,008,110,81.0
209,008,111,80.0
209,008,112,68.0
209,008,113,0.0
209,008,115,53.0
209,008,116,65.0
209,008,117,63.0
209,008,118,52.0
209,008,119,81.0
209,008,120,77.0
209,008,121,80.0
209,008,122,81.0
209,008,123,79.0
