Channel,Time,Phase,ADC,TOT_10bit,TOT_12bit,ToA
1,0.0,7,89,0,0,0
1,1.5625,8,73,0,0,0
1,3.125,9,90,0,0,0
1,4.6875,10,84,0,0,0
1,6.25,11,74,0,0,0
1,7.8125,12,73,0,0,0
1,9.375,13,75,0,0,0
1,10.9375,14,116,0,0,0
1,12.5,15,80,0,0,0
1,14.0625,0,85,0,0,0
1,15.625,1,96,0,0,0
1,17.1875,2,87,0,0,0
1,18.75,3,60,0,0,0
1,20.3125,4,75,0,0,0
1,21.875,5,77,0,0,0
1,23.4375,6,101,0,0,0
1,25.0,7,104,0,0,0
1,26.5625,8,73,0,0,0
1,28.125,9,86,0,0,0
1,29.6875,10,83,0,0,0
1,31.25,11,71,0,0,0
1,32.8125,12,70,0,0,0
1,34.375,13,72,0,0,0
1,35.9375,14,93,0,0,0
1,37.5,15,85,0,0,0
1,39.0625,0,85,0,0,0
1,40.625,1,78,0,0,0
1,42.1875,2,86,0,0,0
1,43.75,3,60,0,0,0
1,45.3125,4,70,0,0,0
1,46.875,5,92,0,0,0
1,48.4375,6,97,0,0,0
1,50.0,7,101,0,0,0
1,51.5625,8,75,0,0,0
1,53.125,9,84,0,0,0
1,54.6875,10,85,0,0,0
1,56.25,11,70,0,0,0
1,57.8125,12,70,0,0,0
1,59.375,13,73,0,0,0
1,60.9375,14,77,0,0,0
1,62.5,15,82,0,0,0
1,64.0625,0,88,0,0,0
1,65.625,1,73,0,0,0
1,67.1875,2,85,0,0,0
1,68.75,3,61,0,0,0
1,70.3125,4,80,0,0,0
1,71.875,5,98,0,0,0
1,73.4375,6,88,0,0,0
1,75.0,7,102,0,0,0
1,76.5625,8,77,0,0,0
1,78.125,9,94,0,0,416
1,79.6875,10,114,0,0,355
1,81.25,11,136,0,0,300
1,82.8125,12,179,0,0,239
1,84.375,13,235,0,0,165
1,85.9375,14,271,0,0,107
1,87.5,15,328,0,0,24
1,89.0625,0,378,0,0,0
1,90.625,1,372,0,0,0
1,92.1875,2,410,0,0,0
1,93.75,3,405,0,0,0
1,95.3125,4,436,0,0,0
1,96.875,5,428,0,0,0
1,98.4375,6,367,0,0,0
1,100.0,7,399,0,0,513
1,101.5625,8,366,0,0,493
1,103.125,9,355,0,0,0
1,104.6875,10,339,0,0,0
1,106.25,11,334,0,0,0
1,107.8125,12,325,0,0,0
1,109.375,13,317,0,0,0
1,110.9375,14,296,0,0,0
1,112.5,15,302,0,0,0
1,114.0625,0,298,0,0,973
1,115.625,1,269,0,0,937
1,117.1875,2,283,0,0,854
