Channel,Time,Phase,ADC,TOT_10bit,TOT_12bit,ToA
1,0.0,7,79,0,0,0
1,1.5625,8,78,0,0,0
1,3.125,9,76,0,0,0
1,4.6875,10,88,0,0,0
1,6.25,11,90,0,0,0
1,7.8125,12,73,0,0,0
1,9.375,13,81,0,0,0
1,10.9375,14,76,0,0,0
1,12.5,15,72,0,0,0
1,14.0625,0,76,0,0,0
1,15.625,1,85,0,0,0
1,17.1875,2,74,0,0,0
1,18.75,3,81,0,0,0
1,20.3125,4,87,0,0,0
1,21.875,5,89,0,0,0
1,23.4375,6,84,0,0,0
1,25.0,7,78,0,0,0
1,26.5625,8,77,0,0,0
1,28.125,9,73,0,0,0
1,29.6875,10,81,0,0,0
1,31.25,11,86,0,0,0
1,32.8125,12,76,0,0,0
1,34.375,13,80,0,0,0
1,35.9375,14,80,0,0,0
1,37.5,15,73,0,0,0
1,39.0625,0,72,0,0,0
1,40.625,1,69,0,0,0
1,42.1875,2,76,0,0,0
1,45.3125,4,84,0,0,0
1,46.875,5,84,0,0,0
1,48.4375,6,86,0,0,0
1,50.0,7,78,0,0,0
1,51.5625,8,76,0,0,0
1,53.125,9,67,0,0,0
1,54.6875,10,81,0,0,0
1,56.25,11,85,0,0,0
1,57.8125,12,76,0,0,0
1,59.375,13,84,0,0,0
1,60.9375,14,77,0,0,0
1,62.5,15,78,0,0,0
1,64.0625,0,73,0,0,0
1,65.625,1,59,0,0,0
1,67.1875,2,76,0,0,0
1,68.75,3,87,0,0,0
1,70.3125,4,87,0,0,0
1,71.875,5,79,0,0,0
1,73.4375,6,89,0,0,0
1,75.0,7,102,0,0,0
1,76.5625,8,136,0,0,0
1,78.125,9,220,0,0,0
1,79.6875,10,341,0,0,0
1,81.25,11,464,0,0,0
1,82.8125,12,596,0,0,0
1,84.375,13,741,0,0,0
1,85.9375,14,853,0,0,0
1,87.5,15,939,0,0,0
1,89.0625,0,999,0,0,0
1,90.625,1,1003,0,0,0
1,92.1875,2,1002,0,0,0
1,93.75,3,976,0,0,0
1,95.3125,4,932,0,0,0
1,96.875,5,834,0,0,0
1,98.4375,6,93,0,0,0
1,100.0,7,682,0,0,0
1,101.5625,8,630,616,832,468
1,103.125,9,576,614,816,416
1,104.6875,10,548,619,856,348
1,106.25,11,502,608,768,266
1,107.8125,12,489,615,824,211
1,109.375,13,485,621,872,139
1,110.9375,14,479,623,888,74
1,112.5,15,460,618,848,7
1,114.0625,0,447,623,888,978
1,115.625,1,447,617,840,917
1,117.1875,2,446,617,840,861
1,118.75,3,441,619,856,773
1,120.3125,4,439,618,848,735
1,121.875,5,430,617,840,673
1,123.4375,6,770,0,0,0
1,125.0,7,414,616,832,518
1,126.5625,8,412,0,0,0
1,128.125,9,403,0,0,0
1,129.6875,10,400,0,0,0
1,131.25,11,372,0,0,0
1,132.8125,12,375,0,0,0
1,134.375,13,369,0,0,0
1,135.9375,14,366,0,0,0
1,137.5,15,351,0,0,0
1,139.0625,0,347,0,0,0
1,140.625,1,329,0,0,0
1,142.1875,2,321,0,0,0
1,143.75,3,311,0,0,0
1,145.3125,4,312,0,0,0
1,146.875,5,285,0,0,0
1,148.4375,6,429,620,864,586
1,150.0,7,281,0,0,0
1,151.5625,8,273,0,0,0
1,153.125,9,266,0,0,0
1,154.6875,10,255,0,0,0
1,156.25,11,249,0,0,0
1,157.8125,12,248,0,0,0
1,159.375,13,242,0,0,0
1,160.9375,14,240,0,0,0
1,162.5,15,240,0,0,0
1,164.0625,0,246,0,0,0
1,165.625,1,223,0,0,0
1,167.1875,2,217,0,0,0
1,170.3125,4,218,0,0,0
1,171.875,5,203,0,0,0
1,173.4375,6,259,0,0,0
1,175.0,7,203,0,0,0
1,176.5625,8,200,0,0,0
1,178.125,9,194,0,0,0
1,179.6875,10,181,0,0,0
1,181.25,11,186,0,0,0
1,182.8125,12,188,0,0,0
1,184.375,13,186,0,0,0
1,185.9375,14,184,0,0,0
1,187.5,15,192,0,0,0
1,189.0625,0,194,0,0,0
1,190.625,1,172,0,0,0
1,192.1875,2,48,0,0,0
1,193.75,3,169,0,0,0
1,195.3125,4,170,0,0,0
1,196.875,5,168,0,0,0
1,198.4375,6,200,0,0,0
2,0.0,7,76,0,0,0
2,1.5625,8,77,0,0,0
2,3.125,9,67,0,0,0
2,4.6875,10,77,0,0,0
2,6.25,11,89,0,0,0
2,7.8125,12,77,0,0,0
2,9.375,13,78,0,0,0
2,10.9375,14,76,0,0,0
2,12.5,15,69,0,0,0
2,14.0625,0,76,0,0,0
2,15.625,1,80,0,0,0
2,17.1875,2,69,0,0,0
2,18.75,3,79,0,0,0
2,20.3125,4,77,0,0,0
2,21.875,5,74,0,0,0
2,23.4375,6,82,0,0,0
2,25.0,7,76,0,0,0
2,26.5625,8,76,0,0,0
2,28.125,9,65,0,0,0
2,29.6875,10,77,0,0,0
2,31.25,11,85,0,0,0
2,32.8125,12,73,0,0,0
2,34.375,13,79,0,0,0
2,35.9375,14,62,0,0,0
2,37.5,15,72,0,0,0
2,39.0625,0,64,0,0,0
2,40.625,1,82,0,0,0
2,42.1875,2,74,0,0,0
2,43.75,3,79,0,0,0
2,45.3125,4,75,0,0,0
2,46.875,5,87,0,0,0
2,48.4375,6,84,0,0,0
2,50.0,7,74,0,0,0
2,51.5625,8,80,0,0,0
2,53.125,9,69,0,0,0
2,54.6875,10,77,0,0,0
2,56.25,11,84,0,0,0
2,57.8125,12,74,0,0,0
2,59.375,13,70,0,0,0
2,60.9375,14,69,0,0,0
2,62.5,15,76,0,0,0
2,64.0625,0,68,0,0,0
2,65.625,1,81,0,0,0
2,67.1875,2,74,0,0,0
2,68.75,3,75,0,0,0
2,70.3125,4,79,0,0,0
2,71.875,5,88,0,0,0
2,73.4375,6,81,0,0,0
2,75.0,7,93,0,0,0
2,76.5625,8,140,0,0,0
2,78.125,9,213,0,0,0
2,79.6875,10,337,0,0,0
2,81.25,11,488,0,0,0
2,82.8125,12,596,0,0,0
2,84.375,13,717,0,0,0
2,85.9375,14,843,0,0,0
2,87.5,15,937,0,0,0
2,89.0625,0,999,0,0,0
2,90.625,1,1023,0,0,0
2,92.1875,2,1002,0,0,0
2,93.75,3,954,0,0,0
2,95.3125,4,916,0,0,0
2,96.875,5,857,0,0,0
2,98.4375,6,89,0,0,0
2,100.0,7,681,0,0,0
2,101.5625,8,628,603,728,474
2,103.125,9,566,598,688,411
2,104.6875,10,532,91,91,341
2,106.25,11,517,608,768,267
2,109.375,13,457,599,696,157
2,110.9375,14,450,601,712,86
2,112.5,15,441,601,712,21
2,114.0625,0,434,601,712,987
2,115.625,1,445,609,776,915
2,117.1875,2,427,600,704,853
2,118.75,3,419,597,680,792
2,120.3125,4,417,599,696,729
2,121.875,5,422,605,744,661
2,123.4375,6,762,0,0,0
2,125.0,7,403,602,720,531
2,126.5625,8,401,0,0,0
2,128.125,9,386,0,0,0
2,129.6875,10,385,0,0,0
2,131.25,11,379,0,0,0
2,132.8125,12,369,0,0,0
2,134.375,13,359,0,0,0
2,135.9375,14,349,0,0,0
2,137.5,15,345,0,0,0
2,139.0625,0,329,0,0,0
2,140.625,1,327,0,0,0
2,142.1875,2,317,0,0,0
2,143.75,3,306,0,0,0
2,145.3125,4,297,0,0,0
2,146.875,5,291,0,0,0
2,148.4375,6,410,602,720,596
2,150.0,7,287,0,0,0
2,151.5625,8,268,0,0,0
2,153.125,9,255,0,0,0
2,154.6875,10,255,0,0,0
2,156.25,11,236,0,0,0
2,157.8125,12,241,0,0,0
2,159.375,13,237,0,0,0
2,160.9375,14,229,0,0,0
2,162.5,15,236,0,0,0
2,164.0625,0,219,0,0,0
2,165.625,1,225,0,0,0
2,167.1875,2,219,0,0,0
2,168.75,3,210,0,0,0
2,170.3125,4,204,0,0,0
2,171.875,5,204,0,0,0
2,173.4375,6,289,0,0,0
2,175.0,7,204,0,0,0
2,176.5625,8,206,0,0,0
2,178.125,9,186,0,0,0
2,179.6875,10,184,0,0,0
2,181.25,11,173,0,0,0
2,182.8125,12,181,0,0,0
2,184.375,13,181,0,0,0
2,185.9375,14,45,0,0,0
2,187.5,15,53,0,0,0
2,189.0625,0,170,0,0,0
2,190.625,1,185,0,0,0
2,192.1875,2,177,0,0,0
2,193.75,3,167,0,0,0
2,195.3125,4,164,0,0,0
2,196.875,5,159,0,0,0
2,198.4375,6,202,0,0,0
3,0.0,7,79,0,0,0
3,1.5625,8,85,0,0,0
3,3.125,9,85,0,0,0
3,4.6875,10,77,0,0,0
3,6.25,11,77,0,0,0
3,7.8125,12,83,0,0,0
3,9.375,13,77,0,0,0
3,10.9375,14,77,0,0,0
3,12.5,15,74,0,0,0
3,14.0625,0,77,0,0,0
3,15.625,1,80,0,0,0
3,17.1875,2,82,0,0,0
3,18.75,3,69,0,0,0
3,20.3125,4,73,0,0,0
3,21.875,5,93,0,0,0
3,23.4375,6,76,0,0,0
3,25.0,7,80,0,0,0
3,26.5625,8,86,0,0,0
3,28.125,9,81,0,0,0
3,29.6875,10,76,0,0,0
3,31.25,11,76,0,0,0
3,32.8125,12,81,0,0,0
3,34.375,13,74,0,0,0
3,35.9375,14,77,0,0,0
3,37.5,15,77,0,0,0
3,39.0625,0,77,0,0,0
3,40.625,1,83,0,0,0
3,42.1875,2,88,0,0,0
3,43.75,3,73,0,0,0
3,45.3125,4,77,0,0,0
3,46.875,5,88,0,0,0
3,48.4375,6,78,0,0,0
3,50.0,7,79,0,0,0
3,51.5625,8,81,0,0,0
3,53.125,9,82,0,0,0
3,54.6875,10,76,0,0,0
3,56.25,11,78,0,0,0
3,57.8125,12,75,0,0,0
3,59.375,13,72,0,0,0
3,60.9375,14,74,0,0,0
3,62.5,15,81,0,0,0
3,64.0625,0,77,0,0,0
3,65.625,1,83,0,0,0
3,67.1875,2,82,0,0,0
3,68.75,3,66,0,0,0
3,70.3125,4,77,0,0,0
3,71.875,5,87,0,0,0
3,73.4375,6,77,0,0,0
3,75.0,7,100,0,0,0
3,76.5625,8,145,0,0,0
3,78.125,9,222,0,0,0
3,79.6875,10,329,0,0,0
3,81.25,11,457,0,0,0
3,82.8125,12,562,0,0,0
3,84.375,13,699,0,0,0
3,85.9375,14,815,0,0,0
3,87.5,15,918,0,0,0
3,89.0625,0,981,0,0,0
3,90.625,1,998,0,0,0
3,92.1875,2,983,0,0,0
3,93.75,3,943,0,0,0
3,95.3125,4,888,0,0,0
3,96.875,5,813,0,0,0
3,98.4375,6,93,0,0,0
3,100.0,7,676,0,0,0
3,101.5625,8,624,609,776,474
3,103.125,9,561,600,704,410
3,104.6875,10,532,607,760,349
3,106.25,11,504,606,752,281
3,107.8125,12,470,602,720,227
3,109.375,13,462,602,720,159
3,110.9375,14,449,603,728,93
3,112.5,15,450,605,744,24
3,114.0625,0,439,604,736,986
3,115.625,1,441,607,760,922
3,117.1875,2,432,604,736,859
3,118.75,3,438,610,784,795
3,120.3125,4,428,603,728,732
3,121.875,5,423,603,728,665
3,123.4375,6,756,0,0,0
3,125.0,7,415,604,736,535
3,126.5625,8,413,0,0,0
3,128.125,9,390,0,0,0
3,129.6875,10,395,0,0,0
3,131.25,11,383,0,0,0
3,132.8125,12,377,0,0,0
3,134.375,13,366,0,0,0
3,135.9375,14,358,0,0,0
3,137.5,15,351,0,0,0
3,139.0625,0,336,0,0,0
3,140.625,1,337,0,0,0
3,142.1875,2,324,0,0,0
3,143.75,3,319,0,0,0
3,145.3125,4,307,0,0,0
3,146.875,5,261,0,0,0
3,148.4375,6,434,615,824,600
3,150.0,7,286,0,0,0
3,151.5625,8,276,0,0,0
3,153.125,9,266,0,0,0
3,154.6875,10,266,0,0,0
3,156.25,11,255,0,0,0
3,157.8125,12,250,0,0,0
3,159.375,13,244,0,0,0
3,160.9375,14,241,0,0,0
3,162.5,15,238,0,0,0
3,164.0625,0,229,0,0,0
3,165.625,1,233,0,0,0
3,167.1875,2,219,0,0,0
3,168.75,3,220,0,0,0
3,170.3125,4,217,0,0,0
3,171.875,5,195,0,0,0
3,173.4375,6,302,0,0,0
3,175.0,7,205,0,0,0
3,176.5625,8,202,0,0,0
3,178.125,9,199,0,0,0
3,179.6875,10,201,0,0,0
3,181.25,11,191,0,0,0
3,182.8125,12,61,0,0,0
3,184.375,13,186,0,0,0
3,185.9375,14,185,0,0,0
3,187.5,15,182,0,0,0
3,189.0625,0,179,0,0,0
3,190.625,1,179,0,0,0
3,192.1875,2,169,0,0,0
3,193.75,3,47,0,0,0
3,195.3125,4,171,0,0,0
3,196.875,5,165,0,0,0
3,198.4375,6,209,0,0,0
4,0.0,7,85,0,0,0
4,1.5625,8,77,0,0,0
4,3.125,9,73,0,0,0
4,4.6875,10,73,0,0,0
4,6.25,11,77,0,0,0
4,7.8125,12,77,0,0,0
4,9.375,13,84,0,0,0
4,10.9375,14,80,0,0,0
4,12.5,15,76,0,0,0
4,14.0625,0,76,0,0,0
4,15.625,1,76,0,0,0
4,17.1875,2,80,0,0,0
4,18.75,3,78,0,0,0
4,20.3125,4,77,0,0,0
4,21.875,5,76,0,0,0
4,23.4375,6,81,0,0,0
4,25.0,7,80,0,0,0
4,26.5625,8,75,0,0,0
4,28.125,9,73,0,0,0
4,29.6875,10,76,0,0,0
4,31.25,11,79,0,0,0
4,32.8125,12,78,0,0,0
4,34.375,13,82,0,0,0
4,35.9375,14,79,0,0,0
4,37.5,15,76,0,0,0
4,39.0625,0,78,0,0,0
4,40.625,1,76,0,0,0
4,42.1875,2,77,0,0,0
4,43.75,3,77,0,0,0
4,45.3125,4,79,0,0,0
4,46.875,5,76,0,0,0
4,48.4375,6,83,0,0,0
4,50.0,7,74,0,0,0
4,51.5625,8,76,0,0,0
4,53.125,9,74,0,0,0
4,54.6875,10,79,0,0,0
4,56.25,11,75,0,0,0
4,57.8125,12,79,0,0,0
4,59.375,13,88,0,0,0
4,60.9375,14,75,0,0,0
4,62.5,15,77,0,0,0
4,64.0625,0,77,0,0,0
4,65.625,1,79,0,0,0
4,67.1875,2,77,0,0,0
4,68.75,3,79,0,0,0
4,70.3125,4,77,0,0,0
4,71.875,5,77,0,0,0
4,73.4375,6,82,0,0,0
4,75.0,7,98,0,0,0
4,76.5625,8,133,0,0,0
4,78.125,9,215,0,0,0
4,79.6875,10,328,0,0,0
4,81.25,11,456,0,0,0
4,82.8125,12,590,0,0,0
4,84.375,13,725,0,0,0
4,85.9375,14,824,0,0,0
4,87.5,15,926,0,0,0
4,89.0625,0,991,0,0,0
4,90.625,1,1001,0,0,0
4,92.1875,2,992,0,0,0
4,93.75,3,956,0,0,0
4,95.3125,4,900,0,0,0
4,96.875,5,826,0,0,0
4,98.4375,6,86,0,0,0
4,100.0,7,666,0,0,0
4,101.5625,8,615,618,848,475
4,103.125,9,569,622,880,409
4,104.6875,10,525,620,864,342
4,106.25,11,494,620,864,277
4,107.8125,12,475,621,872,218
4,109.375,13,453,621,872,150
4,110.9375,14,437,618,848,90
4,112.5,15,437,621,872,21
4,114.0625,0,434,620,864,984
4,115.625,1,432,623,888,919
4,117.1875,2,421,619,856,852
4,118.75,3,418,620,864,788
4,120.3125,4,417,621,872,730
