FPGA,DAC,Condition,Channel,mean,std,Pedestal,mean_corr,std_corr
209,100,HV,1,249.4,4.1593268686170815,81.0,168.4,4.1593268686170815
209,100,HV,2,244.4,4.722287581247037,79.0,165.4,4.722287581247037
209,100,HV,3,247.4,3.9749213828703565,79.0,168.4,3.9749213828703565
209,100,HV,4,243.8,4.086563348340508,78.0,165.8,4.086563348340508
209,100,HV,5,241.8,2.949576240750524,81.0,160.8,2.949576240750524
209,100,HV,6,250.4,3.7815340802378064,79.0,171.4,3.7815340802378064
209,100,HV,7,237.4,1.6733200530681513,81.0,156.4,1.6733200530681513
209,100,HV,8,241.4,0.8944271909999143,79.0,162.4,0.8944271909999143
209,100,HV,10,236.6,1.516575088810308,81.0,155.6,1.516575088810308
209,100,HV,11,256.4,3.1304951684997078,95.0,161.39999999999998,3.1304951684997078
209,100,HV,12,255.8,3.033150177620622,87.0,168.8,3.033150177620622
209,100,HV,13,233.2,1.6431676725154998,78.0,155.2,1.6431676725154998
209,100,HV,14,249.2,4.207136793592525,81.0,168.2,4.207136793592525
209,100,HV,15,238.4,5.941380311005178,80.0,158.4,5.941380311005178
209,100,HV,16,240.0,2.1213203435596424,78.0,162.0,2.1213203435596424
209,100,HV,17,237.4,1.5165750888103091,79.0,158.4,1.5165750888103091
209,100,HV,20,238.4,6.148170459575761,80.0,158.4,6.148170459575761
209,100,HV,21,233.8,2.8635642126552705,78.0,155.8,2.8635642126552705
209,100,HV,22,236.6,2.6076809620810604,77.0,159.6,2.6076809620810604
209,100,HV,23,238.0,4.69041575982343,78.0,160.0,4.69041575982343
209,100,HV,24,234.0,3.4641016151377535,79.0,155.0,3.4641016151377535
209,100,HV,25,236.4,5.770615218501403,79.0,157.4,5.770615218501403
209,100,HV,26,235.0,3.807886552931954,77.0,158.0,3.807886552931954
209,100,HV,27,234.6,3.2863353450309973,79.0,155.6,3.2863353450309973
209,100,HV,29,234.6,2.7928480087537886,78.0,156.6,2.7928480087537886
209,100,HV,30,229.6,5.272570530585628,79.0,150.6,5.272570530585628
209,100,HV,31,235.0,4.9497474683058345,81.0,154.0,4.9497474683058345
209,100,HV,32,239.6,2.6076809620810604,81.0,158.6,2.6076809620810604
209,100,HV,33,231.4,4.037325847637269,79.0,152.4,4.037325847637269
209,100,HV,34,493.8,0.8366600265340772,79.0,414.8,0.8366600265340772
209,100,HV,35,226.6,2.3021728866442674,75.0,151.6,2.3021728866442674
209,100,HV,36,233.2,3.420526275297418,77.0,156.2,3.420526275297418
209,100,HV,39,491.4,1.6733200530681556,81.0,410.4,1.6733200530681556
209,100,HV,40,473.0,1.4142135623730951,79.0,394.0,1.4142135623730951
209,100,HV,41,497.4,0.8944271909999242,83.0,414.4,0.8944271909999242
209,100,HV,42,236.8,1.095445115010332,82.0,154.8,1.095445115010332
209,100,HV,43,226.8,0.8366600265340709,80.0,146.8,0.8366600265340709
209,100,HV,44,232.8,1.9235384061671357,77.0,155.8,1.9235384061671357
209,100,HV,45,224.0,1.4142135623730956,79.0,145.0,1.4142135623730956
209,100,HV,46,234.2,2.2803508501982757,79.0,155.2,2.2803508501982757
209,100,HV,48,230.2,1.3038404810405295,80.0,150.2,1.3038404810405295
209,100,HV,49,222.8,1.303840481040526,81.0,141.8,1.303840481040526
209,100,HV,50,254.2,0.836660026534073,98.0,156.2,0.836660026534073
209,100,HV,51,234.0,1.4142135623730951,77.0,157.0,1.4142135623730951
209,100,HV,52,233.2,1.3038404810405295,81.0,152.2,1.3038404810405295
209,100,HV,53,226.8,2.049390153191921,81.0,145.8,2.049390153191921
209,100,HV,54,227.4,3.2863353450309996,81.0,146.4,3.2863353450309996
209,100,HV,55,234.4,1.8165902124584932,77.0,157.4,1.8165902124584932
209,100,HV,58,236.6,0.5477225575051667,79.0,157.6,0.5477225575051667
209,100,HV,59,232.2,2.4899799195977494,81.0,151.2,2.4899799195977494
209,100,HV,60,235.0,1.5811388300841924,81.0,154.0,1.5811388300841924
209,100,HV,61,229.8,1.6431676725154944,80.0,149.8,1.6431676725154944
209,100,HV,62,235.4,2.3021728866442683,79.0,156.4,2.3021728866442683
209,100,HV,63,235.0,2.645751311064592,79.0,156.0,2.645751311064592
209,100,HV,64,234.4,1.6733200530681518,79.0,155.4,1.6733200530681518
209,100,HV,65,232.4,1.1401754250991367,82.0,150.4,1.1401754250991367
209,100,HV,67,228.6,3.049590136395385,78.0,150.6,3.049590136395385
209,100,HV,68,237.0,2.345207879911715,79.0,158.0,2.345207879911715
209,100,HV,69,229.0,1.5811388300841898,78.0,151.0,1.5811388300841898
209,100,HV,70,231.2,3.4928498393145984,81.0,150.2,3.4928498393145984
209,100,HV,71,229.4,2.7018512172212588,80.0,149.4,2.7018512172212588
209,100,HV,72,235.2,1.0954451150103344,82.0,153.2,1.0954451150103344
209,100,HV,73,229.4,0.8944271909999143,79.0,150.4,0.8944271909999143
209,100,HV,74,230.4,2.0736441353327697,77.0,153.4,2.0736441353327697
209,100,HV,77,232.4,2.0736441353327733,79.0,153.4,2.0736441353327733
209,100,HV,78,239.2,3.5637059362410897,82.0,157.2,3.5637059362410897
209,100,HV,79,247.6,3.0495901363953823,79.0,168.6,3.0495901363953823
209,100,HV,80,241.0,4.242640687119286,79.0,162.0,4.242640687119286
209,100,HV,81,235.4,2.4083189157584615,80.0,155.4,2.4083189157584615
209,100,HV,82,240.2,2.683281572999749,83.0,157.2,2.683281572999749
209,100,HV,83,235.0,1.2247448713915876,81.0,154.0,1.2247448713915876
209,100,HV,84,242.4,3.5071355833500344,78.0,164.4,3.5071355833500344
209,100,HV,86,237.6,1.5165750888103127,79.0,158.6,1.5165750888103127
209,100,HV,87,243.2,1.7888543819998355,81.0,162.2,1.7888543819998355
209,100,HV,88,244.8,2.3874672772626666,80.0,164.8,2.3874672772626666
209,100,HV,89,232.4,1.3416407864998754,77.0,155.4,1.3416407864998754
209,100,HV,90,274.8,2.3874672772626666,105.0,169.8,2.3874672772626666
209,100,HV,91,240.6,3.5071355833500353,81.0,159.6,3.5071355833500353
209,100,HV,92,234.8,1.923538406167137,80.0,154.8,1.923538406167137
209,100,HV,93,235.0,1.224744871391589,79.0,156.0,1.224744871391589
209,100,HV,96,241.8,2.588435821108955,80.0,161.8,2.588435821108955
209,100,HV,97,233.6,0.8944271909999143,79.0,154.6,0.8944271909999143
209,100,HV,98,241.6,2.7018512172212605,79.0,162.6,2.7018512172212605
209,100,HV,99,234.2,2.774887385102319,79.0,155.2,2.774887385102319
209,100,HV,100,238.8,3.492849839314597,81.0,157.8,3.492849839314597
209,100,HV,101,239.6,3.3615472627943213,83.0,156.6,3.3615472627943213
209,100,HV,102,238.6,1.8165902124584943,77.0,161.6,1.8165902124584943
209,100,HV,103,237.0,1.8708286933869707,74.0,163.0,1.8708286933869707
209,100,HV,105,233.0,1.8708286933869702,78.0,155.0,1.8708286933869702
209,100,HV,106,233.4,3.507135583350035,77.0,156.4,3.507135583350035
209,100,HV,107,238.2,2.5884358211089586,79.0,159.2,2.5884358211089586
209,100,HV,108,239.2,2.3874672772626644,81.0,158.2,2.3874672772626644
209,100,HV,109,234.6,2.6076809620810604,79.0,155.6,2.6076809620810604
209,100,HV,110,235.2,1.4832396974191353,79.0,156.2,1.4832396974191353
209,100,HV,111,233.0,1.0,79.0,154.0,1.0
209,100,HV,112,234.2,3.6331804249169934,79.0,155.2,3.6331804249169934
209,100,HV,115,241.4,1.3416407864998754,81.0,160.4,1.3416407864998754
209,100,HV,116,229.0,1.8708286933869736,80.0,149.0,1.8708286933869736
209,100,HV,117,228.4,0.8944271909999163,79.0,149.4,0.8944271909999163
209,100,HV,118,248.8,2.7748873851023204,92.0,156.8,2.7748873851023204
209,100,HV,119,244.8,0.44721359549995715,83.0,161.8,0.44721359549995715
209,100,HV,120,231.4,0.8944271909999143,78.0,153.4,0.8944271909999143
209,100,HV,121,234.0,1.224744871391586,78.0,156.0,1.224744871391586
209,100,HV,122,239.0,1.581138830084193,77.0,162.0,1.581138830084193
209,100,HV,124,230.8,1.3038404810405282,81.0,149.8,1.3038404810405282
209,100,HV,125,237.8,1.303840481040526,78.0,159.8,1.303840481040526
209,100,HV,126,233.0,1.224744871391587,77.0,156.0,1.224744871391587
209,100,HV,127,235.6,1.5165750888103104,80.0,155.6,1.5165750888103104
209,100,HV,128,238.4,1.1401754250991367,79.0,159.4,1.1401754250991367
209,100,HV,129,235.6,1.1401754250991398,82.0,153.6,1.1401754250991398
209,100,HV,130,244.8,2.5884358211089533,81.0,163.8,2.5884358211089533
209,100,HV,131,239.4,1.1401754250991383,80.0,159.4,1.1401754250991383
209,100,HV,134,238.6,0.8944271909999143,77.0,161.6,0.8944271909999143
209,100,HV,135,239.2,0.44721359549995515,80.0,159.2,0.44721359549995515
209,100,HV,136,236.8,1.3038404810405282,80.0,156.8,1.3038404810405282
209,100,HV,137,238.2,0.4472135954999611,81.0,157.2,0.4472135954999611
209,100,HV,138,244.2,2.86356421265527,81.0,163.2,2.86356421265527
209,100,HV,139,235.2,1.6431676725154953,79.0,156.2,1.6431676725154953
209,100,HV,140,233.8,1.4832396974191324,79.0,154.8,1.4832396974191324
209,100,HV,141,231.2,0.8366600265340772,79.0,152.2,0.8366600265340772
209,100,HV,143,234.4,3.209361307176245,79.0,155.4,3.209361307176245
209,100,HV,144,232.8,1.6431676725154953,81.0,151.8,1.6431676725154953
209,100,HV,145,227.2,1.3038404810405282,79.0,148.2,1.3038404810405282
209,100,HV,146,212.6,1.5165750888103116,58.0,154.6,1.5165750888103116
209,100,HV,147,233.6,1.5165750888103127,79.0,154.6,1.5165750888103127
209,100,HV,148,231.4,1.1401754250991398,77.0,154.4,1.1401754250991398
209,100,HV,149,233.6,1.1401754250991367,78.0,155.6,1.1401754250991367
209,100,HV,150,228.0,1.8708286933869707,70.0,158.0,1.8708286933869707
209,100,NoHV,1,327.0,9.21954445729289,101.0,226.0,9.21954445729289
209,100,NoHV,2,336.0,14.798648586948744,96.0,240.0,14.798648586948744
209,100,NoHV,3,336.4,3.0495901363953797,95.0,241.39999999999998,3.0495901363953797
209,100,NoHV,4,342.4,6.503845016603642,95.0,247.39999999999998,6.503845016603642
209,100,NoHV,5,360.8,7.661592523751183,97.0,263.8,7.661592523751183
209,100,NoHV,6,306.8,11.009087155618305,95.0,211.8,11.009087155618305
209,100,NoHV,7,339.4,9.07193474403338,95.0,244.39999999999998,9.07193474403338
209,100,NoHV,8,329.8,9.311283477587827,95.0,234.8,9.311283477587827
209,100,NoHV,10,329.6,5.683308895353137,94.0,235.60000000000002,5.683308895353137
209,100,NoHV,11,381.8,4.764451699828637,107.0,274.8,4.764451699828637
209,100,NoHV,12,384.8,10.871982339941512,102.0,282.8,10.871982339941512
209,100,NoHV,13,340.0,4.358898943540674,94.0,246.0,4.358898943540674
209,100,NoHV,14,343.8,4.549725266430933,97.0,246.8,4.549725266430933
209,100,NoHV,15,354.2,7.981227975693967,93.0,261.2,7.981227975693967
209,100,NoHV,16,338.6,6.387487769068526,95.0,243.60000000000002,6.387487769068526
209,100,NoHV,17,327.0,5.000000000000001,93.0,234.0,5.000000000000001
209,100,NoHV,20,343.4,7.300684899377588,95.0,248.39999999999998,7.300684899377588
209,100,NoHV,21,336.0,4.9999999999999964,93.0,243.0,4.9999999999999964
209,100,NoHV,22,329.0,5.33853912601565,91.0,238.0,5.33853912601565
209,100,NoHV,23,357.0,9.055385138137419,95.0,262.0,9.055385138137419
209,100,NoHV,24,320.6,7.5365774725667105,93.0,227.60000000000002,7.5365774725667105
209,100,NoHV,25,322.2,5.019960159204449,93.0,229.2,5.019960159204449
209,100,NoHV,26,323.0,8.54400374531753,91.0,232.0,8.54400374531753
209,100,NoHV,27,337.8,6.978538528947162,92.0,245.8,6.978538528947162
209,100,NoHV,29,323.6,7.127411872482184,87.0,236.60000000000002,7.127411872482184
209,100,NoHV,30,313.4,8.29457654133109,92.0,221.39999999999998,8.29457654133109
209,100,NoHV,31,323.0,7.416198487095663,89.0,234.0,7.416198487095663
209,100,NoHV,32,314.6,1.5165750888103138,87.0,227.60000000000002,1.5165750888103138
209,100,NoHV,33,322.0,7.314369419163902,91.0,231.0,7.314369419163902
209,100,NoHV,34,592.8,0.44721359549995315,91.0,501.79999999999995,0.44721359549995315
209,100,NoHV,35,300.6,5.029910535983716,84.0,216.60000000000002,5.029910535983716
209,100,NoHV,36,333.6,3.4351128074635384,91.0,242.60000000000002,3.4351128074635384
209,100,NoHV,39,625.6,0.54772255750517,81.0,544.6,0.54772255750517
209,100,NoHV,40,581.8,0.8366600265340688,79.0,502.79999999999995,0.8366600265340688
209,100,NoHV,41,647.4,1.341640786499878,81.0,566.4,1.341640786499878
209,100,NoHV,42,361.8,2.167948338867879,79.0,282.8,2.167948338867879
209,100,NoHV,43,326.2,1.643167672515495,84.0,242.2,1.643167672515495
209,100,NoHV,44,329.4,3.2093613071762377,80.0,249.39999999999998,3.2093613071762377
209,100,NoHV,45,328.8,1.0954451150103335,80.0,248.8,1.0954451150103335
209,100,NoHV,46,366.4,0.8944271909999083,82.0,284.4,0.8944271909999083
209,100,NoHV,48,370.8,3.8987177379235867,81.0,289.8,3.8987177379235867
209,100,NoHV,49,304.0,1.224744871391589,83.0,221.0,1.224744871391589
209,100,NoHV,50,395.2,2.489979919597744,101.0,294.2,2.489979919597744
209,100,NoHV,51,342.8,1.7888543819998326,79.0,263.8,1.7888543819998326
209,100,NoHV,52,331.6,1.9493588689618002,85.0,246.60000000000002,1.9493588689618002
209,100,NoHV,53,350.2,2.683281572999744,80.0,270.2,2.683281572999744
209,100,NoHV,54,330.4,4.929503017546491,82.0,248.39999999999998,4.929503017546491
209,100,NoHV,55,359.0,2.549509756796389,81.0,278.0,2.549509756796389
209,100,NoHV,58,371.8,4.2071367935925235,85.0,286.8,4.2071367935925235
209,100,NoHV,59,357.2,2.3874672772626666,81.0,276.2,2.3874672772626666
209,100,NoHV,60,357.2,2.1679483388678755,85.0,272.2,2.1679483388678755
209,100,NoHV,61,349.0,1.8708286933869707,85.0,264.0,1.8708286933869707
209,100,NoHV,62,382.6,3.9115214431215897,86.0,296.6,3.9115214431215897
209,100,NoHV,63,337.2,3.114482300479486,90.0,247.2,3.114482300479486
209,100,NoHV,64,329.4,4.03732584763727,83.0,246.39999999999998,4.03732584763727
209,100,NoHV,65,383.2,2.5884358211089586,91.0,292.2,2.5884358211089586
209,100,NoHV,67,339.2,3.7013511046643526,88.0,251.2,3.7013511046643526
209,100,NoHV,68,336.4,4.335896677735754,86.0,250.39999999999998,4.335896677735754
209,100,NoHV,69,374.4,3.5071355833500317,86.0,288.4,3.5071355833500317
209,100,NoHV,70,370.4,2.302172886644265,83.0,287.4,2.302172886644265
209,100,NoHV,71,375.4,3.4351128074635264,85.0,290.4,3.4351128074635264
209,100,NoHV,72,386.8,5.06951674225463,83.0,303.8,5.06951674225463
209,100,NoHV,73,348.6,6.618156843109715,85.0,263.6,6.618156843109715
209,100,NoHV,74,377.0,2.738612787525824,87.0,290.0,2.738612787525824
209,100,NoHV,77,319.2,4.604345773288535,89.0,230.2,4.604345773288535
209,100,NoHV,78,347.2,9.28439551074813,90.0,257.2,9.28439551074813
209,100,NoHV,79,354.6,2.880972058177592,92.0,262.6,2.880972058177592
209,100,NoHV,80,351.4,2.701851217221266,89.0,262.4,2.701851217221266
209,100,NoHV,81,302.2,6.457553716385177,89.0,213.2,6.457553716385177
209,100,NoHV,82,355.4,4.219004621945796,91.0,264.4,4.219004621945796
209,100,NoHV,83,342.2,4.381780460041334,86.0,256.2,4.381780460041334
209,100,NoHV,84,318.8,5.449770637375487,86.0,232.8,5.449770637375487
209,100,NoHV,86,300.8,5.167204273105532,86.0,214.8,5.167204273105532
209,100,NoHV,87,345.0,3.391164991562634,91.0,254.0,3.391164991562634
209,100,NoHV,88,323.8,6.942621983083918,92.0,231.8,6.942621983083918
209,100,NoHV,89,349.8,2.167948338867882,85.0,264.8,2.167948338867882
209,100,NoHV,90,417.6,3.2093613071762443,111.0,306.6,3.2093613071762443
209,100,NoHV,91,341.6,4.037325847637272,91.0,250.60000000000002,4.037325847637272
209,100,NoHV,92,315.0,5.338539126015654,89.0,226.0,5.338539126015654
209,100,NoHV,93,348.8,3.1144823004794877,89.0,259.8,3.1144823004794877
209,100,NoHV,96,355.4,4.722287581247035,90.0,265.4,4.722287581247035
209,100,NoHV,97,289.0,3.3911649915626314,88.0,201.0,3.3911649915626314
209,100,NoHV,98,333.8,4.868264577855235,86.0,247.8,4.868264577855235
209,100,NoHV,99,336.2,6.496152707564684,86.0,250.2,6.496152707564684
209,100,NoHV,100,321.6,6.188699378706325,85.0,236.60000000000002,6.188699378706325
209,100,NoHV,101,296.4,1.8165902124584903,89.0,207.39999999999998,1.8165902124584903
209,100,NoHV,102,305.4,4.774934554525334,87.0,218.39999999999998,4.774934554525334
209,100,NoHV,103,331.6,5.128352561983232,73.0,258.6,5.128352561983232
209,100,NoHV,105,319.4,2.408318915758463,85.0,234.39999999999998,2.408318915758463
